smiles,internal_energy_298K
CC(=O)OC,-268.315051
COC(=O)N,-284.379361
C(C(=O)N)O,-284.354148
[NH3+]CC([O-])=O,-284.367172
CC(C)CO,-233.544542
CC(O)CO,-269.472993
CCC(C)C,-197.622325
CCC(C)O,-233.549143
CC(C)OC,-233.539034
CC1(CC1)C,-196.403398
CC1(CO1)C,-232.329981
CC1(CC1)O,-232.327734
N=C1CCO1,-247.196699
C1CC(=O)C1,-231.150804
C1CNC1=O,-247.220897
C1COC1=O,-267.101929
C1C(=O)CN1,-247.185543
C1C(=O)CO1,-267.063976
CC1CCC1,-196.40245
CC1CCO1,-232.325877
CC1COC1,-232.320548
C1CC(C1)O,-232.328097
C1C(CO1)O,-268.243234
CC1CC1C,-196.40034
CC1CC1O,-232.323327
CC1CN1C,-212.432286
CC1OC1C,-232.32857
OC1CC1O,-268.245852
C1C2CC1C2,-195.154774
C1C2CC1O2,-231.065445
C#CCC#C,-192.730524
C#CCC#N,-208.837159
C(C#N)C#N,-224.939832
C#CCC=O,-229.912379
C(C=O)C#N,-246.017964
C(=N)NC=O,-263.275534
N=COC=O,-283.151564
C(=O)NC=O,-283.17476
CC#CC#C,-192.756657
CC#CC#N,-208.85788
CC#CC=O,-229.922366
CC#CCO,-231.104707
CCC#CC,-195.18988
CN=COC,-248.388824
CCCC#C,-195.179881
CCCC#N,-211.289209
CNCC#N,-227.318937
COCC#C,-231.086089
COCC#N,-247.192237
C#CCCO,-231.100171
C(CO)C#N,-247.20867
CCCC=O,-232.357283
CCNC=O,-248.429994
CCOC=O,-268.301991
COCC=O,-268.267033
C(CO)C=O,-268.276602
CCCCC,-197.622321
CCCCO,-233.542485
CCCOC,-233.535569
CCOCC,-233.541027
COCCO,-269.45898
C(CO)CO,-269.461727
C#CC1CC1,-193.958152
C#CC1CN1,-209.996559
C#CC1CO1,-229.87469
C1CC1C#N,-210.066701
N#CC1CN1,-226.102575
N#CC1CO1,-245.978827
C1CC1C=O,-231.140101
O=CC1CN1,-247.179519
O=CC1CO1,-267.055484
C1CN1C=O,-247.187626
CCC1CC1,-196.399392
CCC1CO1,-232.322501
CCN1CC1,-212.433577
COC1CC1,-232.311743
C1CC1CO,-232.319256
OCC1CN1,-248.358808
OCC1CO1,-268.243491
C1CC=CC1,-195.221411
C1COC=N1,-247.210764
C1C=CCO1,-231.138099
C1CCCC1,-196.427608
C1CCOC1,-232.346824
C1COCO1,-268.269015
C1C2CCC12,-195.175335
C1C2COC12,-231.088957
C1CC2OC12,-231.097923
c1c[nH]nc1,-226.140644
c1cnn[nH]1,-242.176561
c1[nH]ncn1,-242.202078
c1[nH]cnn1,-242.192733
c1cn[nH]n1,-242.182459
c1cnoc1,-245.9905
c1conn1,-262.031571
c1ncon1,-262.053124
c1nnco1,-262.06207
c1nnno1,-278.072348
c1cnon1,-262.014288
c1nnon1,-278.055942
n1nnon1,-294.078226
CC(=NO)C#C,-285.211126
CC(=NO)CO,-323.578268
CCC(=NO)C,-287.654946
C1CC(=NO)C1,-286.4319
C1C(=NO)CN1,-302.466506
C1C(=NO)CO1,-322.345309
C(F)(F)(F)F,-437.480956
N=C1NC=CO1,-301.362374
N=C1OC=CO1,-321.232405
c1c[nH]c(=O)[nH]1,-301.400597
c1coc(=O)[nH]1,-321.271636
c1coc(=O)o1,-341.141349
Cc1ccc[nH]1,-249.391707
Cc1ccco1,-269.262222
Cc1cnco1,-285.323118
Cc1ncco1,-285.32495
c1cc([nH]c1)N,-265.436072
c1cc(oc1)N,-285.308395
c1c(ocn1)N,-301.368495
c1coc(n1)N,-301.376265
c1cc([nH]c1)O,-285.314886
c1c([nH]cn1)O,-301.372972
c1cnc([nH]1)O,-301.38437
Cc1cc[nH]c1,-249.38964
Cc1c[nH]cn1,-265.451994
Cc1ccoc1,-269.25813
Cc1cocn1,-285.321574
c1c[nH]cc1N,-265.432959
c1c(nc[nH]1)N,-281.499371
c1cocc1N,-285.301863
c1c(nco1)N,-301.368911
c1c[nH]cc1O,-285.311084
c1c(nc[nH]1)O,-301.380615
c1c(nco1)O,-321.24821
Cn1cccc1,-249.381908
Cn1ccnc1,-265.441887
c1ccccc1,-232.160188
c1ccncc1,-248.207665
c1cnccn1,-264.251446
c1cncnc1,-264.257646
c1ncncn1,-280.30997
CC(C)(C)C#C,-234.468849
CC(C)(C)C#N,-250.578524
CC(C)(C#N)N,-266.623452
CC(C)(C#C)O,-270.391629
CC(C)(C#N)O,-286.499096
CC(C)(C)C=O,-271.648691
CC(C)(C=O)O,-307.57441
CC(C)(C)CO,-272.83319
CC(C)(CO)O,-308.761514
CCC(C)(C)C,-236.909222
CCC(C)(C)O,-272.839427
CC(C)(C)OC,-272.827416
CC#CC(=O)C,-269.222736
CC#CC(=O)N,-285.292874
CC#CC(C)C,-234.478004
CC#CC(C)O,-270.400789
CC(=O)CC#C,-269.212283
CC(=O)CC#N,-285.317853
C#CCC(=O)N,-285.280928
C(C#N)C(=O)N,-301.38819
CC(=N)NC=O,-302.582194
CC(=N)OC=O,-322.454075
CC(=O)CC=O,-306.390688
CC(=O)NC=N,-302.57277
CC(=O)NC=O,-322.473128
CC(=O)OC=N,-322.458133
C(=O)NC(=N)N,-318.641827
C(C=O)C(=O)N,-322.463011
C(=N)NC(=O)N,-318.635509
C(=O)NC(=O)N,-338.536767
NC(=O)OC=N,-338.524995
CC(C)CC#C,-234.46852
CC(C)CC#N,-250.578
CC(O)CC#C,-270.39373
CC(O)CC#N,-286.501342
CN(C)CC#N,-266.602164
CC(C)CC=O,-271.645574
CC(C)NC=O,-287.72048
CC(C)OC=O,-307.594822
CC(O)CC=O,-307.570462
CN(C)CC=O,-287.673848
CC(=O)CCO,-307.578343
CCCC(=O)C,-271.658117
CCCC(=O)N,-287.729087
CCNC(=O)C,-287.726871
CCNC(=O)N,-303.788437
CCOC(=O)C,-307.607387
CCOC(=O)N,-323.671741
C[NH2+]CC([O-])=O,-323.64761
CC(=O)COC,-307.564235
COCC(=O)N,-323.63393
C(CO)C(=O)N,-323.649644
[NH3+]CCC([O-])=O,-323.575941
CC(C)CCO,-272.829406
CC(O)CCO,-308.756772
CCCC(C)C,-236.909314
CCCC(C)O,-272.836468
CCOC(C)C,-272.831387
CC(C)COC,-272.824541
COCC(C)O,-308.751467
CC(=O)C(=O)C,-306.399338
CC(=O)C(=N)N,-302.574009
CC(=O)C(=O)N,-322.475927
NC(=[NH2+])C([O-])=O,-338.524237
C(=O)(C(=O)N)N,-338.553802
CC(C)C(=O)C,-271.657306
CC(C)C(=O)N,-287.729645
CC([NH3+])C([O-])=O,-323.658667
CC(O)C(C)=O,-307.586914
CC(O)C(N)=O,-323.658861
CC(=O)N(C)C,-287.716142
CN(C)C(=O)N,-303.778493
CC(C)C(C)C,-236.907667
CC(C)C(C)O,-272.8356
CC(O)C(C)O,-308.764288
CC1(CCC1)C,-235.692187
CC1(CCO1)C,-271.619919
CC1(COC1)C,-271.611373
CC1(CCC1)O,-271.621262
CC1(COC1)O,-307.538272
CC1(C)CC1O,-271.61481
CC1(O)CC1O,-307.539271
CC1CC1(C)C,-235.691505
CC1CC1(C)O,-271.616756
CC1OC1(C)C,-271.623061
CC1(CN1C)C,-251.725481
CC1CC(=N)O1,-286.492393
CC1CC(=O)C1,-270.440714
CC1CC(=O)N1,-286.513686
CC1CC(=O)O1,-306.397481
CN1CC(=O)C1,-286.470495
C1C(CC1=O)O,-306.363717
CC1CC(C)C1,-235.693375
CC1CC(C)O1,-271.621668
CC1CC(O)C1,-271.618
CN1CC(C1)O,-287.650703
OC1CC(O)C1,-307.542315
CC12CC(C1)C2,-234.449921
CC12CC(C1)O2,-270.364657
CC12CN(C1)C2,-250.473446
OC12CC(C1)C2,-270.377533
OC12CN(C1)C2,-286.403385
C#CC(=O)C#C,-266.757444
C#CC(=O)C#N,-282.855418
C(#N)C(=O)C#N,-298.94752
C#CC(=O)C=O,-303.928202
C(=O)C(=O)C#N,-320.024005
C(=O)C(=O)C=O,-341.091177
CC(C#C)C#C,-232.019028
CC(C#C)C#N,-248.126157
CC(C#N)C#N,-264.229597
NC(C#C)C#N,-264.165508
C(#N)C(C#N)N,-280.267611
C#CC(C#C)O,-267.937674
OC(C#C)C#N,-284.042467
C(#N)C(C#N)O,-300.142982
CC(C=O)C#C,-269.20074
CC(C=O)C#N,-285.306637
OC(C=O)C#C,-305.123844
OC(C=O)C#N,-321.227582
CC(C=O)C=O,-306.376314
CN(C=N)C=O,-302.573326
CN(C=O)C=O,-322.470851
C(=O)C(C=O)O,-342.301481
CN=C(C#N)N,-281.474271
CN=C(C=O)N,-302.557593
CCC(=O)C#C,-269.210012
CCC(=O)C#N,-285.31081
CNC(=N)C#N,-281.478065
CNC(=O)C#C,-285.275639
COC(=O)C#C,-305.149492
COC(=O)C#N,-321.248781
C#CC(=O)CO,-305.123605
C(C(=O)C#N)O,-321.223616
CCC(=O)C=O,-306.385878
CNC(=N)C=O,-302.551612
CNC(=O)C=O,-322.447243
COC(=O)C=O,-342.322736
C(C(=O)C=O)O,-342.291172
CCC(=O)CC,-271.658902
CCC(=O)CO,-307.572434
CCC(=O)NC,-287.724552
CCC(=O)OC,-307.602997
CNC(=O)CO,-323.636751
CNC(=O)NC,-303.779425
CNC(=O)OC,-323.661699
COC(=O)CN,-323.644911
COC(=O)CO,-343.524693
C(C(=O)CO)O,-343.485107
CC(=NC)OC,-287.689416
CC(CO)C#C,-270.388643
CC(CO)C#N,-286.497432
CCC(C)C#C,-234.466434
CCC(C)C#N,-250.575974
CCC(N)C#N,-266.619585
CCC(O)C#C,-270.390091
CCC(O)C#N,-286.497024
CNC(C)C#N,-266.608241
COC(C)C#C,-270.376713
COC(C)C#N,-286.487984
NC(CO)C#N,-302.538187
NCC(N)C#N,-282.660209
NCC(O)C#N,-302.538783
OCC(O)C#C,-306.313986
OCC(O)C#N,-322.418738
CC(CO)C=O,-307.567493
CCC(C)C=O,-271.644175
CCC(O)C=O,-307.574957
CCN(C)C=O,-287.713033
COC(C)C=O,-307.559107
OCC(O)C=O,-343.497024
CC(CO)CO,-308.751086
CCC(C)CC,-236.907738
CCC(C)CO,-272.830053
CCC(C)OC,-272.826448
CCC(CC)O,-272.836705
CCC(O)CO,-308.760556
COC(C)CO,-308.74959
C(C(CO)O)O,-344.682195
CC1(CC1)C#C,-233.2487
CC1(CC1)C#N,-249.357626
CC1(CN1)C#C,-249.286674
CC1(CN1)C#N,-265.393944
CC1(CO1)C#C,-269.169791
CC1(CO1)C#N,-285.275044
C1CC1(C#N)N,-265.402167
C#CC1(CC1)O,-269.170213
C1CC1(C#N)O,-285.276998
CC1(CC1)C=O,-270.432679
CC1(CN1)C=O,-286.471021
CC1(CO1)C=O,-306.352296
C1CC1(C=O)O,-306.358187
CC1(CC1)CO,-271.611049
CC1(CO)CN1,-287.656474
CC1(CO)CO1,-307.539052
CCC1(CC1)C,-235.689426
CCC1(C)CO1,-271.616004
CCC1(CC1)O,-271.614856
CC1(CC1)OC,-271.604301
C1CC1(CO)O,-307.537691
CC1CCC1=O,-270.440964
CC1CNC1=O,-286.510925
CC1COC1=N,-286.487128
CC1COC1=O,-306.391983
CC1NCC1=O,-286.478789
CC1OCC1=O,-306.359174
CN1CCC1=O,-286.508751
NC1COC1=N,-302.529817
NC1COC1=O,-322.433831
OC1CCC1=O,-306.362423
OC1CNC1=O,-322.430835
OC1COC1=N,-322.407158
OC1COC1=O,-342.309972
CC1CCC1C,-235.689979
CC1CCC1O,-271.615882
CC1COC1C,-271.61422
CC1OCC1O,-307.538101
OC1CCC1O,-307.544139
N=C1CN=CN1,-281.486859
C1C=CCC1=O,-269.258575
C1C=CNC1=O,-285.330807
C1C(=O)NC=N1,-301.391168
C1C(=O)OC=N1,-321.26687
N=C1OCC=C1,-285.307013
C1CC(=O)C=C1,-269.266149
C1C=CC(=O)N1,-285.331604
N=C1CCCO1,-286.51087
N=C1COCO1,-322.429025
N=C1OCCO1,-322.439107
C1CCC(=O)C1,-270.466895
C1CC(=O)NC1,-286.536964
C1CC(=O)OC1,-306.413341
C1COCC1=O,-306.381259
C1C(=O)OCO1,-342.330282
C1CNC(=O)N1,-302.594109
C1COC(=O)N1,-322.471693
C1COC(=O)O1,-342.34739
CC1=CCCC1,-234.51632
CC1=CCOC1,-270.433217
CC1=NCCO1,-286.510983
CC1CC=CC1,-234.51027
CC1CN=CO1,-286.504912
OC1CC=CC1,-270.435739
CC1CCC=C1,-234.510406
CC1COC=N1,-286.502604
CC1OCC=C1,-270.4318
OC1CCC=C1,-270.435384
CC1CCCC1,-235.71718
CC1CCCO1,-271.641158
CC1CCOC1,-271.63658
CC1COCO1,-307.563241
CC1OCCO1,-307.567272
C1CCC(C1)O,-271.642208
OC1CCOC1,-307.560326
CC1C(C)C1C,-235.686596
CC1C(C)C1O,-271.611272
CC1C(C)N1C,-251.719552
CC1C(O)C1O,-307.533965
OC1C(O)C1O,-343.462548
CC12CC1CC2,-234.469056
CC12CC1CO2,-270.386783
CC12CC1OC2,-270.382545
CC12CCC1O2,-270.39568
OC12CC1CC2,-270.392001
OC12CC1OC2,-306.303682
C#CC#CC#C,-229.609222
C#CC#CC#N,-245.706152
C(#CC#N)C#N,-261.79743
C#CCCC#C,-232.023466
C#CCCC#N,-248.131277
C(CC#N)C#N,-264.236876
C#CC#CC=O,-266.77129
C(=O)C#CC#N,-282.865901
C(=O)C#CC=O,-303.933923
N=COCC#C,-285.235491
N=COCC#N,-301.339414
C#CCCC=O,-269.199987
C(CC#N)C=O,-285.307112
C#CCNC=O,-285.270024
C(C#N)NC=O,-301.375865
C#CCOC=O,-305.13858
C(C#N)OC=O,-321.241236
N=COCC=O,-322.414586
C(CC=O)C=O,-306.377325
C(C=O)NC=O,-322.449687
C(C=O)OC=O,-342.31767
CC#CC#CC,-232.056277
CC#CCC#C,-232.028964
CC#CCC#N,-248.136834
CC#CCC=O,-269.211092
CN=CNC=O,-302.560613
CN=COC=O,-322.436104
CCC#CC#C,-232.043419
CCC#CC#N,-248.144801
C#CC#CCO,-267.956622
C(C#CC#N)O,-284.056563
CCC#CC=O,-269.209287
C(C#CC=O)O,-305.123003
CCC#CCC,-234.476522
CCC#CCO,-270.39147
C(C#CCO)O,-306.306114
CCN=COC,-287.675482
CC#CCCO,-270.397985
CCCC#CC,-234.477444
CC#CCOC,-270.384807
CCOC=NC,-287.681558
CCCCC#C,-234.466965
CCCCC#N,-250.576387
CCNCC#N,-266.609198
CCOCC#C,-270.378715
CCOCC#N,-286.485166
COCCC#C,-270.379973
COCCC#N,-286.488353
C#CCCCO,-270.386433
C(CC#N)CO,-286.49537
CCCCC=O,-271.644564
CCCNC=O,-287.717322
CCCOC=O,-307.589259
CCOCC=O,-307.559743
COCCC=O,-307.556074
C(CC=O)CO,-307.564452
C(CO)NC=O,-323.640154
OCCOC=N,-323.607894
C(COC=O)O,-343.511052
CCCCCC,-236.909445
CCCCCO,-272.829692
CCCCOC,-272.822537
CCCOCC,-272.828014
CCOCCO,-308.751559
COCCCO,-308.741831
COCCOC,-308.733932
C(CCO)CO,-308.749984
C#CC1CCC1,-233.247695
C#CC1CCO1,-269.164562
C#CC1COC1,-269.164157
C1CC(C1)C#N,-249.35669
N#CC1CCN1,-265.392993
N#CC1CCO1,-285.270351
C1C(CO1)C#N,-285.270937
C1CC(C1)C=O,-270.425177
O=CC1CCO1,-306.343561
C1C(CO1)C=O,-306.341242
C1CN(C1)C=O,-286.492684
CN=C1CCO1,-286.477884
CCC1CCC1,-235.689406
CCC1CCO1,-271.61347
CCC1COC1,-271.607578
COC1CCC1,-271.606218
COC1COC1,-307.522006
C1CC(C1)CO,-271.609777
OCC1CCO1,-307.535777
C1C(CO1)CO,-307.528025
C#CCC1CC1,-233.243054
C#CCC1CO1,-269.164427
C#CCN1CC1,-249.274838
C1CC1CC#N,-249.352356
N#CCC1CN1,-265.390273
N#CCC1CO1,-285.272042
C1CN1CC#N,-265.380879
N=COC1CC1,-286.46095
C1CC1CC=O,-270.42131
O=CCC1CN1,-286.460524
O=CCC1CO1,-306.342772
C1CN1CC=O,-286.453456
C1CC1NC=O,-286.492413
C1CC1OC=O,-306.364013
CC#CC1CC1,-233.255758
CC#CC1CN1,-249.294959
CC#CC1CO1,-269.17392
CCCC1CC1,-235.686573
CCCC1CO1,-271.60974
CCCN1CC1,-251.720578
CCOC1CC1,-271.60423
COCC1CC1,-271.599345
COCC1CN1,-287.638806
COCC1CO1,-307.520151
C1CC1CCO,-271.606856
OCCC1CO1,-307.529757
C1CN1CCO,-287.644917
CC1CC1C#C,-233.248816
CC1CC1C#N,-249.35778
CC1NC1C#C,-249.287993
CC1NC1C#N,-265.395097
CC1OC1C#C,-269.170664
CC1OC1C#N,-285.275526
CN1CC1C#C,-249.278639
CN1CC1C#N,-265.38548
OC1CC1C#C,-269.17084
OC1CC1C#N,-285.2786
CC1CC1C=O,-270.427936
CC1CN1C=O,-286.480311
CC1NC1C=O,-286.468144
CC1OC1C=O,-306.347682
CN1CC1C=O,-286.45723
OC1CC1C=O,-306.349478
CC1CC1CO,-271.606889
CC1NC1CO,-287.653782
CC1OC1CO,-307.53641
CCC1CC1C,-235.687424
CCC1CC1O,-271.610415
CCC1CN1C,-251.719021
CCC1OC1C,-271.615682
CCN1CC1C,-251.722367
CN1CC1CO,-287.637059
COC1CC1C,-271.601738
COC1CC1O,-307.52268
OCC1CC1O,-307.530074
CC(=O)C1CC1,-270.440064
CC(=O)C1CN1,-286.480161
CC(=O)C1CO1,-306.355078
CC(=O)N1CC1,-286.485815
C1CC1C(=O)N,-286.510949
NC(=O)C1CN1,-302.551643
NC(=O)C1CO1,-322.429655
C1CN1C(=O)N,-302.552674
CC(C)C1CC1,-235.68805
CC(C)C1CO1,-271.609509
CC(C)N1CC1,-251.724533
CC(O)C1CC1,-271.612845
CC(O)C1CN1,-287.654667
CC(O)C1CO1,-307.539022
C1CC2(C1)CC2,-234.4667
C1CC12CCO2,-270.388609
C1CC12COC2,-270.384161
C1C2(N1)COC2,-286.425701
C1CC2(C1)CO2,-270.393975
C1C2(CO1)CO2,-306.308576
C1C2CC1C=C2,-233.255731
C1C2OC1C=C2,-269.171364
C1C2CC1CC2,-234.486445
C1C2CC1OC2,-270.402557
C1C2CCC1O2,-270.406628
CC1C2CC1C2,-234.442324
CC1C2CC1O2,-270.354228
OC1C2CC1C2,-270.369961
OC1C2CC1O2,-306.281284
C1COCC=C1,-270.430526
C1CCC=CC1,-234.515101
C1CN=COC1,-286.49943
C1CCCCC1,-235.723729
C1CCOCC1,-271.640803
C1COCCO1,-307.555511
C1COCOC1,-307.563615
C1CC2CCC12,-234.465379
C1CC2OCC12,-270.3886
C1OC2COC12,-306.30834
CC1C2CCC12,-234.46358
CC1C2COC12,-270.379379
OC1C2CCC12,-270.388966
OC1C2COC12,-306.30339
C1C2CC=CC12,-233.288816
C1C2OC=NC12,-285.275658
C1C=CC2NC12,-249.32733
C1C=CC2OC12,-269.211119
C1C2CCCC12,-234.497918
C1C2CCOC12,-270.412868
C1C2COCC12,-270.417487
C1C2OCOC12,-306.330075
C1CC2OC2C1,-270.425853
C1OCC2NC12,-286.455788
C1OCC2OC12,-306.33932
N=C1OC2CC12,-285.250809
O=C1CC2CC12,-269.216562
O=C1CC2CN12,-285.2623
O=C1CC2NC12,-285.248957
O=C1CC2OC12,-305.129673
O=C1CN2CC12,-285.251056
O=C1NC2CC12,-285.27448
O=C1OC2CC12,-305.154609
CC1CC2CC12,-234.465
CC1CC2OC12,-270.388733
CC1OC2CC12,-270.383858
OC1CC2CC12,-270.390923
OC1CC2NC12,-286.433283
OC1CC2OC12,-306.315325
OC1CN2CC12,-286.427104
C1C2C3CC2C13,-233.213109
C1C2C3CN2C13,-249.244386
C1C2C3OC2C13,-269.125375
N1C2C3NC2C13,-265.279706
N1C2C3OC2C13,-285.156611
O1C2C3OC2C13,-305.032628
C1CC1C2CC2,-234.463258
C1CC1C1CO1,-270.386836
C1CC1N2CC2,-250.494143
C1NC1C1CN1,-266.547497
C1NC1C1CO1,-286.426314
C1OC1C1CO1,-306.308102
C1C2C1C1CC21,-233.214384
C1C2C1C1NC21,-249.254832
C1C2C1C1OC21,-269.140183
C1C2C1N1CC21,-249.253018
N1C2C1C1NC21,-265.284536
N1C2C1C1OC21,-285.169639
O1C2C1C1OC21,-305.053089
C1C2C3C1CN23,-249.276201
C1C2C3CC1C23,-233.237852
C1C2C3CC1N23,-249.287806
C1C2C3CN1C23,-249.265191
C1C2C3OC1C23,-269.150758
C12C3C1C1C2C31,-231.971606
C12C3C1N1C2C31,-248.014653
c1ccnnc1,-264.222683
c1cnnnc1,-280.244113
c1nncnn1,-296.281268
c1ncnnn1,-296.292265
c1cnnnn1,-296.261303
Cc1ccn[nH]1,-265.435164
Cc1ccno1,-285.288674
Cc1cnn[nH]1,-281.471555
Cc1cnno1,-301.330443
Cc1c[nH]nc1,-265.43239
Cc1c[nH]nn1,-281.471586
Cc1cnoc1,-285.283174
Cc1conn1,-301.327367
Cc1[nH]ncn1,-281.499734
Cc1ncno1,-301.354167
Cc1cc[nH]n1,-265.435575
Cc1nc[nH]n1,-281.499538
Cc1cn[nH]n1,-281.47767
Cc1n[nH]nn1,-297.518433
Cc1ccon1,-285.28705
Cc1ncon1,-301.352551
Cc1cnon1,-301.311329
Cc1nnon1,-317.356099
Cn1cccn1,-265.427628
Cn1ccnn1,-281.46469
Cn1cncn1,-281.490084
Cn1cnnc1,-281.477525
Cn1cnnn1,-297.505584
Cn1nccn1,-281.471735
Cn1ncnn1,-297.511409
Cn1nnnn1,-313.532152
N=C1NC=NO1,-317.391436
N=C1NN=NN1,-313.549799
N=C1OC=NO1,-337.260902
N=C1ON=NO1,-353.265112
c1cn[nH]c1N,-281.480242
c1cnoc1N,-301.338618
c1c([nH]nn1)N,-297.515908
c1c(onn1)N,-317.381399
c1c(cn[nH]1)N,-281.475278
c1c(nn[nH]1)N,-297.518606
c1c(con1)N,-301.325742
c1c(nno1)N,-317.372496
c1nc([nH]n1)N,-297.549748
c1nc(on1)N,-317.409159
c1c[nH]nc1N,-281.48403
c1[nH]nc(n1)N,-297.550925
c1c(n[nH]n1)N,-297.525359
c1(n[nH]nn1)N,-313.56915
c1conc1N,-301.336451
c1nc(no1)N,-317.404846
c1c(non1)N,-317.359794
c1(nnon1)N,-333.406666
c1[nH]c(=O)[nH]n1,-317.44298
c1[nH]c(=O)on1,-337.297902
c1(=O)[nH]nn[nH]1,-333.459537
c1(=O)[nH]nno1,-353.31678
c1noc(=O)o1,-357.167571
c1(=O)onno1,-373.16979
c1cn[nH]c1O,-301.358611
c1c(cn[nH]1)O,-301.352423
c1c(nn[nH]1)O,-317.398234
c1nc([nH]n1)O,-317.429848
c1c[nH]nc1O,-301.364445
c1[nH]nc(n1)O,-317.428506
c1c(n[nH]n1)O,-317.403907
c1(n[nH]nn1)O,-333.444983
c1conc1O,-321.215152
c1nc(no1)O,-337.279525
c1(nnon1)O,-353.279122
CC#CC(=NO)C,-324.510558
CC(=NO)CC#C,-324.49791
CC(=NO)CC#N,-340.605857
CC(=NO)CC=O,-361.676647
CC(=NO)CCO,-362.862829
CCCC(=NO)C,-326.942216
CC(=NO)COC,-362.854073
CC(=NO)C(=NO)C,-416.979509
CC(=NO)C(=O)N,-377.765448
CC(C)C(=NO)C,-326.942156
CC(O)C(C)=NO,-362.866609
CC1CC(C1)=NO,-325.722501
CN1CC(=NO)C1,-341.752112
ON=C1CC(O)C1,-361.646166
C#CC(=NO)C#C,-322.05057
CCC(=NO)C#C,-324.497426
C#CC(=NO)CO,-360.413882
CCC(=NO)CC,-326.940745
CCC(=NO)CO,-362.864226
CC1CCC1=NO,-325.722384
CC1NCC1=NO,-341.760258
CC1OCC1=NO,-361.641082
ON=C1CCC1O,-361.644826
C1C=CCC1=NO,-324.543733
C1CC(=NO)C=C1,-324.548544
C1C(=NO)C=CN1,-340.595453
C1CCC(=NO)C1,-325.751655
C1COCC1=NO,-361.666802
CC(=NO)C1CC1,-325.720165
CC(=NO)C1CN1,-341.76207
CC(=NO)C1CO1,-361.642701
ON=C1CC2CC12,-324.496159
ON=C1CC2NC12,-340.530232
ON=C1CC2OC12,-360.412533
ON=C1CN2CC12,-340.531385
C#CC(F)(F)F,-414.346269
C(#N)C(F)(F)F,-430.442982
C(=O)C(F)(F)F,-451.523486
C(C(F)(F)F)N,-432.846825
C(C(F)(F)F)O,-452.721943
CCC(F)(F)F,-416.80872
Cc1cc([nH]c1)C,-288.683565
Cc1cc(oc1)C,-308.554959
Cc1cc(c[nH]1)N,-304.726872
Cc1cc(co1)N,-324.598744
Cc1cc(c[nH]1)O,-324.605034
Cc1cc(co1)O,-344.475321
Cc1cc([nH]c1)N,-304.728088
Cc1cc([nH]c1)O,-324.607134
Cc1c[nH]c(n1)O,-340.679625
Cc1cc(oc1)N,-324.601467
Cc1coc(n1)N,-340.67244
Cc1coc(n1)O,-360.54707
Cc1c[nH]c(n1)C,-304.748592
Cc1coc(n1)C,-324.620808
Cc1nc(co1)N,-340.668051
Cc1[nH]cc(n1)O,-340.677145
Cc1nc(co1)O,-360.547651
c1c(c[nH]c1N)N,-320.771439
c1c(coc1N)N,-340.645531
c1c(c[nH]c1N)O,-340.649529
c1c(coc1N)O,-360.522283
c1c(c[nH]c1O)N,-340.65047
c1c(nc([nH]1)O)N,-356.726366
c1c(nc(o1)O)N,-376.594888
c1c(nc(o1)N)N,-356.719817
c1c(nc([nH]1)N)O,-356.72579
c1c(nc(o1)N)O,-376.59963
c1c(c[nH]c1O)O,-360.528204
c1c(nc([nH]1)O)O,-376.60711
Cc1ccc([nH]1)C,-288.685603
Cc1ccc(o1)C,-308.558908
