smiles,expt,calc
NN,-9.3,-6.508
Cc1ccccn1,-4.63,-3.501
CCNc1nc(nc(n1)Cl)NCC,-10.22,-10.914
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,-3.59
CCCCCCCCN,-3.65,-2.589
N,-4.29,-4.018
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,-1.441
COC(=O)c1ccc(cc1)O,-9.51,-9.785
CCCCCc1ccccc1,-0.23,-0.094
CC(F)F,-0.11,0.226
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,-16.039
C=CC=C,0.56,1.955
CN(C)C,-3.2,-2.636
CCCCCC(=O)N,-9.31,-8.103
CC(C)CO[N+](=O)[O-],-1.88,-1.835
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,-13.599
C(CO[N+](=O)[O-])O,-8.18,-6.676
CCCCCCC(=O)C,-2.88,-2.758
CN1CCNCC1,-7.77,-8.173
CCN,-4.5,-3.156
C1C=CC=CC=C1,-0.99,-0.098
c1ccc2c(c1)Cc3ccccc3C2,-3.78,-4.304
CC(Cl)Cl,-0.84,0.187
COc1cccc(c1)O,-7.66,-6.969
c1cc2cccc3c2c(c1)CC3,-3.15,-4.198
CCCCCCCCBr,0.52,1.352
c1ccc(cc1)CO,-6.62,-5.133
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,-17.298
CCCC,2.1,2.588
CCl,-0.55,0.764
CC(C)CBr,-0.03,0.756
CC(C)SC(C)C,-1.21,0.14
CCCCCCC,2.67,2.925
c1cnc[nH]1,-9.63,-7.972
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84,-2.66
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,-14.496
C(I)I,-2.49,-1.882
CCCN(CCC)C(=O)SCCC,-4.13,-4.569
C[N+](=O)[O-],-4.02,-2.075
CCOC,-2.1,-0.71
COC(CCl)(OC)OC,-4.59,-3.638
CC(C)C,2.3,2.535
CC(C)CC(=O)O,-6.09,-8.844
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,-9.029
CCCCl,-0.33,0.973
CCCSCCC,-1.28,0.64
CCC[C@H](CC)O,-4.06,-2.585
CC#N,-3.88,-2.789
CN(CC(F)(F)F)c1ccccc1,-1.92,-3.964
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,-1.156
C=CCCC=C,1.01,2.487
Cc1cccc(c1)C,-0.83,-0.697
CC(=O)OC,-3.13,-3.83
COC(c1ccccc1)(OC)OC,-4.04,-5.559
CCOC(=O)c1ccccc1,-3.64,-4.597
CCCS,-1.1,-0.182
CCCCCC(=O)C,-3.04,-2.945
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,-11.126
c1ccc(cc1)CBr,-2.38,-1.853
CCCCCC(=O)OCC,-2.23,-2.929
CCCOC,-1.66,-0.598
CN1CCOCC1,-6.32,-5.774
c1cc(cc(c1)O)C#N,-9.65,-7.739
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,-0.705
CCCc1ccccc1,-0.53,-0.511
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,-17.621
CNC,-4.29,-2.991
C(=C(F)F)(C(F)(F)F)F,2.93,2.305
c1cc(ccc1O)Cl,-7.03,-5.373
C1CCNCC1,-5.11,-3.873
c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.264
CI,-0.89,-0.641
COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98
C(=C/Cl)\Cl,-0.78,1.024
CCCCC,2.3,2.673
CCCC#N,-3.64,-2.287
[C@@H](C(F)(F)F)(F)Br,0.5,0.234
CC(C)Cc1cnccn1,-5.04,-5.495
CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-1.31
CC[C@@H](C)C(C)C,2.52,2.625
C[C@H](CC(C)C)O,-3.73,-2.907
C1CCOCC1,-3.12,-1.809
C1CC1,0.75,2.485
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822
C=C(Cl)Cl,0.25,1.108
CC(C)CO,-4.5,-3.13
CCCOC(=O)CC,-2.44,-2.453
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885
CSc1ccccc1,-2.73,-1.325
CCc1ccccc1O,-5.66,-4.768
CC(C)(C)Cl,1.09,0.826
CC(=C)C=C,0.68,1.824
Cc1ccc(cc1)C(C)C,-0.68,-0.456
Cn1ccnc1,-8.41,-6.282
C(CO)O,-9.3,-7.266
c1ccc(c(c1)Cl)Cl,-1.36,-0.553
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83,-15.128
CCCOC=O,-2.48,-3.699
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,-4.054
CCCCCC(=O)O,-6.21,-7.878
CCOC(=O)CCC(=O)OCC,-5.71,-8.683
Cc1ccnc(c1)C,-4.86,-3.282
C1CCC=CC1,0.14,1.175
CN1CCN(CC1)C,-7.58,-7.874
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-1.083
C1=CC(=O)C=CC1=O,-6.5,-6.96
COC(=O)CCl,-4,-3.816
CCCC=O,-3.18,-3.044
CCc1ccccc1,-0.79,-0.606
C(=C(Cl)Cl)Cl,-0.44,0.818
CCN(CC)CC,-3.22,-1.955
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,-2.31
Cc1ccncc1C,-5.22,-3.201
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-21.762
c1ccc(cc1)C=O,-4.02,-5.058
c1ccnc(c1)Cl,-4.39,-3.873
C=CCCl,-0.57,0.944
Cc1ccc(cc1)C(=O)C,-4.7,-4.91
C=O,-2.75,-3.155
Cc1ccccc1Cl,-1.14,-0.473
CC(=O)N1CCCC1,-9.8,-7.831
CC(OC)(OC)OC,-4.42,-3.7
CCCCc1ccccc1,-0.4,-0.227
CN(C)c1ccccc1,-3.45,-4.426
CC(C)OC,-2.01,-0.657
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,-1.147
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,0.76
C(C(Cl)Cl)Cl,-1.99,-0.384
CNc1ccccc1,-4.69,-5.719
CC(C)OC(=O)C,-2.64,-3.371
c1ccccc1,-0.9,-0.806
c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,-14.106
c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,-3.16
CC(=C)C(=C)C,0.4,1.862
CCCCC=C,1.58,2.628
S,-0.7,-1.135
CCOCC,-1.59,-0.617
CCNc1nc(nc(n1)SC)NC(C)C,-7.65,-10.552
CCCCOC(=O)c1ccc(cc1)O,-8.72,-8.771
CCCCCCOC(=O)C,-2.26,-2.219
C1CCC(=O)C1,-4.7,-3.889
CCCCC(=O)O,-6.16,-9.053
CCBr,-0.74,0.487
Cc1ccc2cc(ccc2c1)C,-2.63,-2.848
CCCCCCO,-4.4,-3
c1ccc(cc1)c2ccccc2Cl,-2.69,-2.508
CC1=CCCCC1,0.67,1.338
CCCCCCO[N+](=O)[O-],-1.66,-1.596
C(Br)(Br)Br,-2.13,-0.531
CCc1ccc(cc1)O,-6.13,-5.453
CCCOCCO,-6.4,-3.94
c1ccc(cc1)OC=O,-3.82,-5.442
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,-17.742
CCCC(=O)O,-6.35,-9.434
COC(C(F)(F)F)(OC)OC,-0.8,-2.319
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,-14.148
C(F)(F)(F)Br,1.79,1.564
CCCCO,-4.72,-3.232
c1ccc(cc1)F,-0.8,-0.041
CCOC(=O)C,-2.94,-3.745
CC(C)COC(=O)C(C)C,-1.69,-2.58
CC(C)(C)OC,-2.21,-0.691
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55,-0.974
CCC(=O)CC,-3.41,-3.05
COC(=O)C(F)(F)F,-1.1,-1.353
c1ccc2ccccc2c1,-2.4,-3.213
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,-0.805
CC(=O)Oc1ccccc1C(=O)O,-9.94,-9.399
CC(=O)C(C)(C)C,-3.11,-3.234
COS(=O)(=O)C,-4.87,-8.824
CCc1ccncc1,-4.73,-3.19
CC(C)NC(C)C,-3.22,-1.985
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,-3.321
CCCCCCCN,-3.79,-2.554
CC1CCCC1,1.59,1.785
CCC,2,2.495
C[C@H]1CCCO1,-3.3,-1.984
CNC(=O)Oc1cccc2c1cccc2,-9.45,-10.436
c1cc(cc(c1)O)C=O,-9.52,-9.369
c1ccc2cc3ccccc3cc2c1,-3.95,-5.187
C(Cl)Cl,-1.31,0.038
CC(C)(C)C(=O)OC,-2.4,-3.304
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45,-0.379
C1CC[S+2](C1)([O-])[O-],-8.61,-9.624
Cc1cccc(c1O)C,-5.26,-4.308
Cc1cccc(c1)O,-5.49,-5.378
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,-10.984
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,-15.252
CCCCCCCC(=O)C,-2.49,-2.563
CCCCN,-4.24,-2.961
CCCC(=O)OCC,-2.49,-3.381
Cc1ccc(cc1)N,-5.57,-5.494
CCCCCCI,0.08,0.043
C(C(F)(Cl)Cl)(F)(F)Cl,1.77,1.691
COP(=O)(OC)OC,-8.7,-10.642
c1cc(cc(c1)Cl)Cl,-0.98,-0.11
Cc1cc(c2ccccc2c1)C,-2.47,-2.995
CCCC(C)C,2.51,2.808
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,-9.625
C(C(F)(F)F)Cl,0.06,0.233
C=C,1.28,2.328
CCCCCI,-0.14,-0.111
COC(OC)OC,-4.42,-4.625
CCCCCCCCCC,3.16,3.335
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,-5.646
CC=C,1.32,2.328
Cc1c[nH]c2c1cccc2,-5.88,-8.161
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,-13.424
C1CCCCC1,1.23,1.503
CC(=CCC/C(=C/CO)/C)C,-4.45,-2.518
CC(C)c1ccccc1,-0.3,-0.674
CC(C)C(C)C(C)C,2.56,2.674
CC(C)C(=O)C,-3.24,-3.078
CCCCNCCCC,-3.24,-2.076
CCCCS,-0.99,-0.174
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,-2.775
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,-9.846
C1CCC(CC1)N,-4.59,-3.953
C(F)(F)Cl,-0.5,-0.067
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,-6.588
CC(=O)c1cccnc1,-8.26,-7.844
CC#C,-0.48,0.065
CCCCCCCCC=O,-2.07,-2.336
CCC(=O)O,-6.46,-9.088
C(Cl)(Cl)Cl,-1.08,0.285
Cc1cccc(c1C)C,-1.21,-0.883
C,2,2.446
c1ccc(cc1)CCl,-1.93,-1.742
CC1CCCCC1,1.7,1.679
Cc1cccs1,-1.38,-0.3
c1ccncc1,-4.69,-3.508
CCCCCl,-0.16,0.993
C[C@H]1CC[C@@H](O1)C,-2.92,-1.787
Cc1ccc(c(c1)OC)O,-5.8,-4.547
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44,-3.23
Cc1ccccc1,-0.9,-0.79
CC(C)COC=O,-2.22,-3.458
CCOC(=O)c1ccc(cc1)O,-9.2,-9.535
CCOCCOCC,-3.54,-3.42
CCCCCOC(=O)CC,-2.11,-2.176
CCCc1ccc(cc1)O,-5.21,-5.211
CC=C(C)C,1.31,2.272
C(CCl)Cl,-1.79,-0.363
CCC(C)(C)CC,2.56,2.593
Cc1cc2ccccc2cc1C,-2.78,-2.953
Cc1cccc(n1)C,-4.59,-3.443
COC(C(Cl)Cl)(F)F,-1.12,-0.685
CCOCCOC(=O)C,-5.31,-5.751
COc1cccc(c1)N,-7.29,-7.201
c1cc(cnc1)C=O,-7.1,-7.425
CCC(C)(C)O,-4.43,-2.933
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,-6.851
Cn1cccc1,-2.89,-2.374
COCOC,-2.93,-3.221
CCC(CC)O,-4.35,-2.786
CCCCCCCCCC(=O)C,-2.15,-2.201
C(CBr)Cl,-1.95,-0.8
c1ccc(cc1)I,-1.74,-1.057
CC1=CC(=O)CC(C1)(C)C,-5.18,-4.088
CCI,-0.74,-0.609
CCCc1ccc(c(c1)OC)O,-5.26,-4.127
CC(C)Br,-0.48,0.448
Cc1ccc(cc1)Br,-1.39,-0.894
c1cc(ccc1C#N)O,-10.17,-8.39
CS(=O)(=O)C,-10.08,-10.559
CCc1cccc(c1)O,-6.25,-5.272
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,-3.257
c1cc(ccc1Br)Br,-2.3,-1.091
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,-8.658
CC/C=C\C,1.31,2.374
CC,1.83,2.465
COc1ccccc1OC,-5.33,-4.055
CCSCC,-1.46,0.299
c1cc(cnc1)C#N,-6.75,-5.582
c1cc(c(cc1O)Cl)Cl,-7.29,-5.139
COc1ccccc1,-2.45,-2.318
Cc1ccc(c(c1)O)C,-5.91,-5.014
c1cc(ccc1Cl)Cl,-1.01,-0.19
C(F)Cl,-0.77,-0.171
CCCC=C,1.68,2.532
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,-0.304
CCCCCC#C,0.6,0.639
CCCCCCCCC(=O)C,-2.34,-2.573
c1ccc(cc1)Cl,-1.12,-0.475
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,-7.873
CCCCC=O,-3.03,-2.927
c1ccc(cc1)Oc2ccccc2,-2.87,-2.81
C1CCC(=O)CC1,-4.91,-4.18
CCCC[N+](=O)[O-],-3.09,-1.449
c1cnccc1C=O,-7,-7.338
C(CCl)OCCCl,-4.23,-2.248
CC[N+](=O)[O-],-3.71,-1.839
c1cc(cnc1)Cl,-4.01,-2.767
CBr,-0.82,0.46
CO,-5.1,-3.491
CCCCCCC=O,-2.67,-2.704
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,-1.226
c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66
CN1CCCCC1,-3.88,-3.467
CCCCCCCC=O,-2.29,-2.57
c1ccc(cc1)[N+](=O)[O-],-4.12,-3.46
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,-18.095
CF,-0.22,0.881
CS(=O)C,-9.28,-8.243
c1ccc2c(c1)Oc3ccccc3O2,-3.15,-4.9
Cc1ccccc1N,-5.53,-5.325
CCCCBr,-0.4,0.705
CCCCCCCCCO,-3.88,-2.564
Cc1ccncc1,-4.93,-3.343
C(=C(Cl)Cl)(Cl)Cl,0.1,1.328
CC(C)(C)Br,0.84,0.438
C=C(c1ccccc1)c2ccccc2,-2.78,-2.47
CCc1ccc(cc1)C,-0.95,-0.575
Cc1cccnc1,-4.77,-3.221
COCC(OC)(OC)OC,-5.73,-5.436
c1ccc-2c(c1)Cc3c2cccc3,-3.35,-4.269
CC(=O)N,-9.71,-8.82
COS(=O)(=O)OC,-5.1,-8.411
C(C(Cl)Cl)(Cl)Cl,-2.37,-0.534
COC(=O)C1CCCCC1,-3.3,-4.376
CCCCCCBr,0.18,1.076
CCCCCCCBr,0.34,1.223
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,-4.473
COC(CC#N)(OC)OC,-6.4,-5.859
CC[C@H](C)Cl,0,0.927
CCCCCCc1ccccc1,-0.04,-0.1
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,-8.292
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,-0.34
c1ccc(cc1)Cn2ccnc2,-7.63,-7.997
c1ccc2c(c1)cccc2N,-7.28,-7.777
CCOC(=O)CC(=O)OCC,-6,-6.716
CC(=O)C1CC1,-4.61,-3.043
c1cc[nH]c1,-4.78,-4.014
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613
CC1CCC(CC1)C,2.11,1.918
C1CCC(CC1)O,-5.46,-4.178
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,-7.349
c1cc(ccc1O)F,-6.19,-4.955
c1ccc(c(c1)N)Cl,-4.91,-4.847
Cc1ccc(c(c1)C)C,-0.86,-0.795
CCc1ccccc1C,-0.85,-0.761
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,-3.344
c1ccc(cc1)c2ccccc2,-2.7,-3.143
Cc1cccc(c1C)O,-6.16,-5.148
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,-10.466
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,-9.211
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,-7.503
CSC,-1.61,0.44
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78,-17.242
C1CCC(C1)O,-5.49,-4.29
CCCCC(=O)OC,-2.56,-3.492
CCCC(=C)C,1.47,2.486
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,-13.953
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,-11.246
C=CCl,-0.59,1.162
Cc1ccc(cc1)C(=O)N(C)C,-9.76,-8.081
CCCC(=O)CCC,-2.92,-2.704
COC(=O)c1ccccc1,-3.92,-4.921
Cc1ccc(cc1)C=O,-4.27,-5.014
CCCC(=O)OCCC,-2.28,-2.754
C1CNCCN1,-7.4,-8.481
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,-16.515
CCOCCO,-6.69,-4.407
CCC(C)CC,2.51,2.613
Cc1cnccn1,-5.51,-6.161
CCC[N+](=O)[O-],-3.34,-1.632
Cc1cc(cc(c1)C)C,-0.9,-0.553
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92,-16.371
CCO,-5,-3.394
Cc1ccc(c2c1cccc2)C,-2.82,-3.081
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,-2.54
c1cc(c(c(c1)Cl)C#N)Cl,-4.71,-3.32
CCOC=O,-2.56,-3.867
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,0.035
CCOC(OCC)Oc1ccccc1,-5.23,-5.203
c1cc(cc(c1)O)[N+](=O)[O-],-9.62,-7.889
CCCCCCCCO,-4.09,-2.69
CCC=C,1.38,2.367
C(Cl)(Cl)(Cl)Cl,0.08,1.185
c1ccc(cc1)CCO,-6.79,-5.28
CN(C)C(=O)Nc1ccccc1,-9.13,-11.81
CSSC,-1.83,-0.093
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,-8.718
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,-12.333
COC,-1.91,-0.853
CCCCCC,2.48,2.851
C(CBr)Br,-2.33,-1.275
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,0.059
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,-17.349
Cc1cccc(c1N)C,-5.21,-5.57
CCCOC(=O)C,-2.79,-3.486
c1ccc2c(c1)cccn2,-5.72,-4.989
CCS,-1.14,-0.395
CCSSCC,-1.64,-0.979
c1ccsc1,-1.4,-0.359
CCc1cccc2c1cccc2,-2.4,-2.961
CCCC(=O)C,-3.52,-3.166
c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,-0.039
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45,-1.956
CC(=O)O,-6.69,-7.281
CC=O,-3.5,-3.372
c1cc(cc(c1)[N+](=O)[O-])N,-8.84,-8.204
CCCCC#C,0.29,0.553
COc1ccccc1N,-6.12,-6.771
c1ccc(cc1)O,-6.6,-5.707
CCC#N,-3.84,-2.491
c1ccc2c(c1)cccc2O,-7.67,-7.137
CCCCOC(=O)C,-2.64,-3.406
CC(C)(/C=N\OC(=O)NC)SC,-9.84,-9.679
Cc1ccccc1O,-5.9,-5.076
CC(C)C=O,-2.86,-2.968
CCC(=O)N,-9.4,-8.31
CCCBr,-0.56,0.579
CC(C)Cl,-0.25,0.833
C(CCl)CCl,-1.89,-0.416
c1cc(ccc1[N+](=O)[O-])O,-10.64,-8.472
C[C@@H](CCl)Cl,-1.27,-0.265
c1cc(ccc1N)Cl,-5.9,-5.281
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44,-12.214
Cc1cccnc1C,-4.82,-3.367
c1cnccc1C#N,-6.02,-5.765
CCOP(=S)(OCC)SCSCC,-4.37,-6.427
CC(=O)C1CCCCC1,-3.9,-4.003
Cc1ccccc1C=O,-3.93,-4.554
CC(=O)c1ccncc1,-7.62,-7.566
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,-1.878
CC(=O)C,-3.8,-3.506
CC(=C)C,1.16,2.327
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,-0.922
CCCCC[N+](=O)[O-],-2.82,-1.325
CCC/C=C/C=O,-3.68,-3.123
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,-10.036
C1CCOC1,-3.47,-2.201
CCCCCCCC,2.88,3.088
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,-2.023
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,-2.964
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,-4.944
CC(C)OC(C)C,-0.53,-0.178
CCCCC(C)C,2.93,2.894
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,-1.284
[C@@H](C(F)(F)F)(Cl)Br,-0.11,0.206
CCCCOCCCC,-0.83,0.139
CCCCCC1CCCC1,2.55,2.381
CC(C)CC(C)C,2.83,2.756
Cc1ccc(nc1)C,-4.72,-3.165
C/C=C/C=O,-4.22,-3.341
CCC[C@H](C)CC,2.71,2.81
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,-0.477
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,-3.043
COCCOC,-4.84,-3.103
CC[C@H](C)c1ccccc1,-0.45,-0.22
c1ccc(cc1)CCCO,-6.92,-5.771
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,-5.378
COc1ccc(cc1)C(=O)OC,-5.33,-6.462
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,-9.409
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21,-12.199
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43,3.077
CC(C)CCOC(=O)C,-2.21,-3.067
CCCCCCCl,0,1.261
CC(C)CC(=O)C,-3.05,-3.116
CCCCCC=O,-2.81,-2.86
c1cc(cc(c1)Cl)N,-5.82,-5.138
C1COCCN1,-7.17,-6.116
CCOC(C)OCC,-3.28,-1.795
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,-2.303
CS,-1.2,-0.273
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23,-9.785
CC(=O)c1ccc(cc1)OC,-4.4,-6.575
C=CCO,-5.03,-3.286
CCSC,-1.5,0.386
CCCCCOC(=O)C,-2.51,-2.565
c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,0.136
CC(=O)c1ccccc1,-4.58,-5.078
CCCl,-0.63,0.775
