smiles,E1-CAM
[H]C([H])([H])C1([H])OC1([H])C([H])([H])[H],0.30321133
[H]OC1([H])C([H])([H])C1([H])O[H],0.25351522
[H]C1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.33827387
[H]C1([H])C2([H])OC1([H])C2([H])[H],0.27464608
[H]C#CC([H])([H])C#C[H],0.23995105
[H]C#CC([H])([H])C#N,0.24174441
[H]C([H])(C#N)C#N,0.27642475
[H]C#CC([H])([H])C([H])=O,0.15842634
[H]C(=O)C([H])([H])C#N,0.15864316
[H]N=C([H])N([H])C([H])=O,0.17645189
[H]N=C([H])OC([H])=O,0.20554633
[H]C(=O)N([H])C([H])=O,0.16521027
[H]C#CC#CC([H])([H])[H],0.1743976
[H]C([H])([H])C#CC#N,0.18871514
[H]C(=O)C#CC([H])([H])[H],0.14439912
[H]OC([H])([H])C#CC([H])([H])[H],0.22405696
[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],0.2411895
[H]C(=NC([H])([H])[H])OC([H])([H])[H],0.21621833
[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],0.24275134
[H]C([H])([H])C([H])([H])C([H])([H])C#N,0.28209517
[H]N(C([H])([H])[H])C([H])([H])C#N,0.23274818
[H]C#CC([H])([H])OC([H])([H])[H],0.23019777
[H]C([H])([H])OC([H])([H])C#N,0.25852415
[H]C#CC([H])([H])C([H])([H])O[H],0.24276237
[H]OC([H])([H])C([H])([H])C#N,0.27196706
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.15705927
[H]C(=O)N([H])C([H])([H])C([H])([H])[H],0.21198848
[H]C(=O)OC([H])([H])C([H])([H])[H],0.21134537
[H]C(=O)C([H])([H])OC([H])([H])[H],0.15693432
[H]OC([H])([H])C([H])([H])C([H])=O,0.15519608
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.33374267
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.26251881
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],0.27664157
[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.275201
[H]OC([H])([H])C([H])([H])OC([H])([H])[H],0.28218704
[H]OC([H])([H])C([H])([H])C([H])([H])O[H],0.26304432
[H]C#CC1([H])C([H])([H])C1([H])[H],0.22815819
[H]C#CC1([H])N([H])C1([H])[H],0.22433258
[H]C#CC1([H])OC1([H])[H],0.2263097
[H]C1([H])C([H])([H])C1([H])C#N,0.26109293
[H]N1C([H])([H])C1([H])C#N,0.2476684
[H]C1([H])OC1([H])C#N,0.2586197
[H]C(=O)C1([H])C([H])([H])C1([H])[H],0.1632258
[H]C(=O)C1([H])N([H])C1([H])[H],0.16007639
[H]C(=O)C1([H])OC1([H])[H],0.15471466
[H]C(=O)N1C([H])([H])C1([H])[H],0.18957874
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.30430279
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H],0.30135549
[H]C([H])([H])C([H])([H])N1C([H])([H])C1([H])[H],0.26913368
[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],0.27980201
[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],0.26201534
[H]OC([H])([H])C1([H])N([H])C1([H])[H],0.26243061
[H]OC([H])([H])C1([H])OC1([H])[H],0.27875098
[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],0.25781489
[H]C1=NC([H])([H])C([H])([H])O1,0.24159007
[H]C1=C([H])C([H])([H])OC1([H])[H],0.23363016
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.32396
[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],0.27566036
[H]C1([H])OC([H])([H])C([H])([H])O1,0.28425236
[H]C1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.28705266
[H]C1([H])OC2([H])C([H])([H])C12[H],0.26033222
[H]C1([H])C([H])([H])C2([H])OC12[H],0.29383658
[H]c1nn([H])c([H])c1[H],0.24905385
[H]c1nnn([H])c1[H],0.21632123
[H]c1nc([H])n([H])n1,0.23875302
[H]c1nnc([H])n1[H],0.23095849
[H]c1nn([H])nc1[H],0.23922341
[H]c1noc([H])c1[H],0.23908744
[H]c1nnoc1[H],0.20914041
[H]c1noc([H])n1,0.22806999
[H]c1nnc([H])o1,0.22931579
[H]c1nnno1,0.22171603
[H]c1nonc1[H],0.21809622
[H]c1nnon1,0.20321274
n1nnon1,0.20775864
[H]C#CC(=NO[H])C([H])([H])[H],0.2012981
[H]ON=C(C([H])([H])[H])C([H])([H])O[H],0.23977097
[H]ON=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.23045134
[H]ON=C1C([H])([H])C([H])([H])C1([H])[H],0.22234812
[H]ON=C1C([H])([H])N([H])C1([H])[H],0.21542822
[H]ON=C1C([H])([H])OC1([H])[H],0.22553796
FC(F)(F)F,0.49644296
[H]c1c([H])n([H])c(=O)n1[H],0.21464178
[H]c1oc(=O)n([H])c1[H],0.23119368
[H]c1oc(=O)oc1[H],0.24967492
[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],0.21708929
[H]c1oc(C([H])([H])[H])c([H])c1[H],0.22480665
[H]c1nc([H])c(C([H])([H])[H])o1,0.2300618
[H]c1nc(C([H])([H])[H])oc1[H],0.23444232
[H]c1c([H])c(N([H])[H])n([H])c1[H],0.20871044
[H]c1oc(N([H])[H])c([H])c1[H],0.20308045
[H]c1nc([H])c(N([H])[H])o1,0.209699
[H]c1nc(N([H])[H])oc1[H],0.22396509
[H]Oc1c([H])c([H])c([H])n1[H],0.19843533
[H]Oc1c([H])nc([H])n1[H],0.20568597
[H]Oc1nc([H])c([H])n1[H],0.22507492
[H]c1c(C([H])([H])[H])c([H])n([H])c1[H],0.22318233
[H]c1nc(C([H])([H])[H])c([H])n1[H],0.23340967
[H]c1oc([H])c(C([H])([H])[H])c1[H],0.22902915
[H]c1nc(C([H])([H])[H])c([H])o1,0.23140683
[H]c1c(N([H])[H])c([H])n([H])c1[H],0.20110701
[H]c1nc(N([H])[H])c([H])n1[H],0.20916614
[H]c1oc([H])c(N([H])[H])c1[H],0.20940501
[H]c1nc(N([H])[H])c([H])o1,0.20421233
[H]Oc1c([H])c([H])n([H])c1[H],0.21061406
[H]Oc1nc([H])n([H])c1[H],0.21966909
[H]Oc1nc([H])oc1[H],0.21313874
[H]c1c([H])c([H])n(C([H])([H])[H])c1[H],0.22946279
[H]c1nc([H])n(C([H])([H])[H])c1[H],0.23726467
[H]c1c([H])c([H])c([H])c([H])c1[H],0.20227196
[H]c1nc([H])c([H])c([H])c1[H],0.18585236
[H]c1nc([H])c([H])nc1[H],0.15334758
[H]c1nc([H])c([H])c([H])n1,0.16792972
[H]c1nc([H])nc([H])n1,0.17573895
[H]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.24455941
[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],0.28397306
[H]N([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],0.25803539
[H]C#CC(O[H])(C([H])([H])[H])C([H])([H])[H],0.23771669
[H]OC(C#N)(C([H])([H])[H])C([H])([H])[H],0.27098953
[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.15867624
[H]OC(C([H])=O)(C([H])([H])[H])C([H])([H])[H],0.15569954
[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.26215866
[H]OC([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H],0.26396305
[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.32537853
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26637381
[H]C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.27754561
[H]C([H])([H])C#CC(=O)C([H])([H])[H],0.1512345
[H]N([H])C(=O)C#CC([H])([H])[H],0.18488953
[H]C([H])([H])C#CC([H])(C([H])([H])[H])C([H])([H])[H],0.24184731
[H]OC([H])(C#CC([H])([H])[H])C([H])([H])[H],0.23241743
[H]C#CC([H])([H])C(=O)C([H])([H])[H],0.16538666
[H]C([H])([H])C(=O)C([H])([H])C#N,0.16798484
[H]C#CC([H])([H])C(=O)N([H])[H],0.21231923
[H]N([H])C(=O)C([H])([H])C#N,0.21347683
[H]N=C(N([H])C([H])=O)C([H])([H])[H],0.19571588
[H]N=C(OC([H])=O)C([H])([H])[H],0.19443701
[H]C(=O)C([H])([H])C(=O)C([H])([H])[H],0.15590166
[H]N=C([H])N([H])C(=O)C([H])([H])[H],0.17982547
[H]C(=O)N([H])C(=O)C([H])([H])[H],0.16948054
[H]N=C([H])OC(=O)C([H])([H])[H],0.20679948
[H]C(=O)C([H])([H])C(=O)N([H])[H],0.15753333
[H]N=C([H])N([H])C(=O)N([H])[H],0.20270193
[H]C(=O)N([H])C(=O)N([H])[H],0.18510268
[H]N=C([H])OC(=O)N([H])[H],0.22383279
[H]C#CC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.24182526
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,0.28146308
[H]C#CC([H])([H])C([H])(O[H])C([H])([H])[H],0.24200901
[H]OC([H])(C([H])([H])[H])C([H])([H])C#N,0.2725183
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C#N,0.23113856
[H]C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.15683142
[H]C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.21185986
[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],0.21108445
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])=O,0.15395027
[H]C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H],0.15564074
[H]OC([H])([H])C([H])([H])C(=O)C([H])([H])[H],0.16652589
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.16616942
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.2124552
[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],0.2153878
[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])[H],0.24669455
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0.21794555
[H]N([H])C(=O)OC([H])([H])C([H])([H])[H],0.25837348
[H]C([H])([H])OC([H])([H])C(=O)C([H])([H])[H],0.16587543
[H]N([H])C(=O)C([H])([H])OC([H])([H])[H],0.20900076
[H]OC([H])([H])C([H])([H])C(=O)N([H])[H],0.21316446
[H]C([H])(C(=O)[O-])C([H])([H])[N+]([H])([H])[H],0.14362739
[H]OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.26219909
[H]OC([H])([H])C([H])([H])C([H])(O[H])C([H])([H])[H],0.26289732
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.32994647
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0.268384
[H]C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.27723691
[H]C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.27723691
[H]OC([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],0.27969177
[H]C([H])([H])C(=O)C(=O)C([H])([H])[H],0.10652159
[H]N([H])C(=O)C(=O)C([H])([H])[H],0.12877699
[H]N([H])C(C(=O)[O-])=[N+]([H])[H],0.1664083
[H]N([H])C(=O)C(=O)N([H])[H],0.16185873
[H]C([H])([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.16365945
[H]N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.21305421
[H]OC([H])(C(=O)C([H])([H])[H])C([H])([H])[H],0.1731959
[H]OC([H])(C(=O)N([H])[H])C([H])([H])[H],0.22185568
[H]C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],0.21231555
[H]N([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],0.24502613
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.32958265
[H]OC([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.2639704
[H]OC([H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],0.26305535
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0.30811369
[H]C([H])([H])C1(C([H])([H])[H])OC([H])([H])C1([H])[H],0.26946443
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])OC1([H])[H],0.26273563
[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0.26356616
[H]OC1(C([H])([H])[H])C([H])([H])OC1([H])[H],0.26119583
[H]OC1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.26344489
[H]OC1([H])C([H])([H])C1(O[H])C([H])([H])[H],0.26258863
[H]C([H])([H])C1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.28335935
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],0.26073646
[H]C([H])([H])C1([H])OC1(C([H])([H])[H])C([H])([H])[H],0.29722487
[H]C([H])([H])N1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.25372837
[H]N=C1OC([H])(C([H])([H])[H])C1([H])[H],0.24715391
[H]C([H])([H])C1([H])C([H])([H])C(=O)C1([H])[H],0.15851087
[H]N1C(=O)C([H])([H])C1([H])C([H])([H])[H],0.21983079
[H]C([H])([H])C1([H])OC(=O)C1([H])[H],0.21957354
[H]C([H])([H])N1C([H])([H])C(=O)C1([H])[H],0.16202778
[H]OC1([H])C([H])([H])C(=O)C1([H])[H],0.15787878
[H]C([H])([H])C1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0.30855101
[H]C([H])([H])C1([H])OC([H])(C([H])([H])[H])C1([H])[H],0.27907805
[H]OC1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0.25945391
[H]OC1([H])C([H])([H])N(C([H])([H])[H])C1([H])[H],0.24228095
[H]OC1([H])C([H])([H])C([H])(O[H])C1([H])[H],0.25947229
[H]C([H])([H])C12C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.32678235
[H]C([H])([H])C12OC([H])(C1([H])[H])C2([H])[H],0.27920667
[H]C([H])([H])C12C([H])([H])N(C1([H])[H])C2([H])[H],0.25070022
[H]OC12C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.26528971
[H]OC12C([H])([H])N(C1([H])[H])C2([H])[H],0.26216969
[H]C#CC(=O)C#C[H],0.13771075
[H]C#CC(=O)C#N,0.13912927
N#CC(=O)C#N,0.1387728
[H]C#CC(=O)C([H])=O,0.0994694
[H]C(=O)C(=O)C#N,0.09807292
[H]C#CC([H])(C#C[H])C([H])([H])[H],0.24003189
[H]C#CC([H])(C#N)C([H])([H])[H],0.2411895
[H]C([H])([H])C([H])(C#N)C#N,0.27542517
[H]C#CC([H])(C#N)N([H])[H],0.23634961
[H]N([H])C([H])(C#N)C#N,0.24727151
[H]C#CC([H])(C#C[H])O[H],0.22775027
[H]C#CC([H])(C#N)O[H],0.22950689
[H]OC([H])(C#N)C#N,0.26488546
[H]C#CC([H])(C([H])=O)C([H])([H])[H],0.15763256
[H]C(=O)C([H])(C#N)C([H])([H])[H],0.15723199
[H]C#CC([H])(O[H])C([H])=O,0.16703671
[H]OC([H])(C#N)C([H])=O,0.16747403
[H]C(=O)C([H])(C([H])=O)C([H])([H])[H],0.14660408
[H]N=C([H])N(C([H])=O)C([H])([H])[H],0.19916297
[H]C(=O)N(C([H])=O)C([H])([H])[H],0.18609858
[H]OC([H])(C([H])=O)C([H])=O,0.15195479
[H]N([H])C(C#N)=NC([H])([H])[H],0.19137211
[H]C(=O)C(=NC([H])([H])[H])N([H])[H],0.14440647
[H]C#CC(=O)C([H])([H])C([H])([H])[H],0.15056566
[H]C([H])([H])C([H])([H])C(=O)C#N,0.15150277
[H]N=C(C#N)N([H])C([H])([H])[H],0.20381911
[H]C#CC(=O)N([H])C([H])([H])[H],0.18681887
[H]C#CC(=O)OC([H])([H])[H],0.18497773
[H]C([H])([H])OC(=O)C#N,0.1933676
[H]C#CC(=O)C([H])([H])O[H],0.15015407
[H]OC([H])([H])C(=O)C#N,0.15122715
[H]C(=O)C(=O)C([H])([H])C([H])([H])[H],0.10450773
[H]N=C(C([H])=O)N([H])C([H])([H])[H],0.13860376
[H]C(=O)C(=O)N([H])C([H])([H])[H],0.1253887
[H]C(=O)C(=O)OC([H])([H])[H],0.12517188
[H]OC([H])([H])C(=O)C([H])=O,0.10263352
[H]C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H],0.16748138
[H]OC([H])([H])C(=O)C([H])([H])C([H])([H])[H],0.16696321
[H]N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],0.21611176
[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])[H],0.21997779
[H]OC([H])([H])C(=O)N([H])C([H])([H])[H],0.21050014
[H]N(C(=O)N([H])C([H])([H])[H])C([H])([H])[H],0.23439087
[H]N(C(=O)OC([H])([H])[H])C([H])([H])[H],0.26247471
[H]N([H])C([H])([H])C(=O)OC([H])([H])[H],0.21970952
[H]OC([H])([H])C(=O)OC([H])([H])[H],0.22963918
[H]OC([H])([H])C(=O)C([H])([H])O[H],0.16585706
[H]C([H])([H])N=C(OC([H])([H])[H])C([H])([H])[H],0.22358657
[H]C#CC([H])(C([H])([H])[H])C([H])([H])O[H],0.24330626
[H]OC([H])([H])C([H])(C#N)C([H])([H])[H],0.2708315
[H]C#CC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.24330626
[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])[H],0.28232302
[H]N([H])C([H])(C#N)C([H])([H])C([H])([H])[H],0.25438618
[H]C#CC([H])(O[H])C([H])([H])C([H])([H])[H],0.23405278
[H]OC([H])(C#N)C([H])([H])C([H])([H])[H],0.26980987
[H]N(C([H])([H])[H])C([H])(C#N)C([H])([H])[H],0.23534635
[H]C#CC([H])(OC([H])([H])[H])C([H])([H])[H],0.23510748
[H]C([H])([H])OC([H])(C#N)C([H])([H])[H],0.27291886
[H]OC([H])([H])C([H])(C#N)N([H])[H],0.24954997
[H]N([H])C([H])([H])C([H])(C#N)N([H])[H],0.24387587
[H]OC([H])(C#N)C([H])([H])N([H])[H],0.24529072
[H]C#CC([H])(O[H])C([H])([H])O[H],0.23080781
[H]OC([H])([H])C([H])(C#N)O[H],0.25953476
[H]OC([H])([H])C([H])(C([H])=O)C([H])([H])[H],0.15863214
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.15654845
[H]OC([H])(C([H])=O)C([H])([H])C([H])([H])[H],0.1663348
[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.21120205
[H]C(=O)C([H])(OC([H])([H])[H])C([H])([H])[H],0.15601926
[H]OC([H])([H])C([H])(O[H])C([H])=O,0.16422906
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])O[H],0.26261803
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.32922986
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26272093
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.2790413
[H]OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0.2680459
[H]OC([H])([H])C([H])(O[H])C([H])([H])C([H])([H])[H],0.26851262
[H]OC([H])([H])C([H])(OC([H])([H])[H])C([H])([H])[H],0.27909275
[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],0.26462454
[H]C#CC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.2314546
[H]C([H])([H])C1(C#N)C([H])([H])C1([H])[H],0.26472744
[H]C#CC1(C([H])([H])[H])N([H])C1([H])[H],0.2341961
[H]N1C([H])([H])C1(C#N)C([H])([H])[H],0.26194184
[H]C#CC1(C([H])([H])[H])OC1([H])[H],0.23081149
[H]C([H])([H])C1(C#N)OC1([H])[H],0.26530808
[H]N([H])C1(C#N)C([H])([H])C1([H])[H],0.26026607
[H]C#CC1(O[H])C([H])([H])C1([H])[H],0.22006599
[H]OC1(C#N)C([H])([H])C1([H])[H],0.24839237
[H]C(=O)C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.16459655
[H]C(=O)C1(C([H])([H])[H])N([H])C1([H])[H],0.15958762
[H]C(=O)C1(C([H])([H])[H])OC1([H])[H],0.15552682
[H]OC1(C([H])=O)C([H])([H])C1([H])[H],0.17149073
[H]OC([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.26228729
[H]OC([H])([H])C1(C([H])([H])[H])N([H])C1([H])[H],0.25996105
[H]OC([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.27910378
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.29149565
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.29768424
[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],0.26685155
[H]C([H])([H])OC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.28156966
[H]OC([H])([H])C1(O[H])C([H])([H])C1([H])[H],0.26745424
[H]C([H])([H])C1([H])C(=O)C([H])([H])C1([H])[H],0.1577428
[H]N1C(=O)C([H])(C([H])([H])[H])C1([H])[H],0.21844901
[H]N=C1OC([H])([H])C1([H])C([H])([H])[H],0.24651815
