smiles,f1-CAM
[H]c1c([H])c([H])n([H])c1[H],0
[H]c1nc([H])n([H])c1[H],0
[H]c1oc([H])c([H])c1[H],0.1517
[H]c1nc([H])c([H])o1,0.1472
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.0858
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.0129
[H]C#CC(=O)C([H])([H])[H],0.0001
[H]C([H])([H])C(=O)C#N,0.0003
[H]C#CC(=O)N([H])[H],0
[H]C(=O)C(=O)C([H])([H])[H],0.0001
[H]C(=O)C(=O)N([H])[H],0.0001
[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],0.0001
[H]C([H])([H])C([H])(C#N)C([H])([H])[H],0.0001
[H]N([H])C([H])(C#N)C([H])([H])[H],0.0246
[H]C#CC([H])(O[H])C([H])([H])[H],0.0001
[H]OC([H])(C#N)C([H])([H])[H],0.0017
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0
[H]OC([H])(C([H])=O)C([H])([H])[H],0.0001
[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],0.001
[H]OC([H])([H])C(=O)C([H])([H])[H],0
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],0
[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0.0004
[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],0.0005
[H]N([H])C(=O)N([H])C([H])([H])[H],0.0005
[H]N=C(OC([H])([H])[H])C([H])([H])[H],0.0008
[H]C([H])([H])OC(=O)C([H])([H])[H],0.0012
[H]N([H])C(=O)OC([H])([H])[H],0.0005
[H]OC([H])([H])C(=O)N([H])[H],0.001
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0001
[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],0.0048
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0077
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0055
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.0177
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0388
[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.003
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0074
[H]N=C1OC([H])([H])C1([H])[H],0.0081
[H]C1([H])C(=O)C([H])([H])C1([H])[H],0
[H]N1C(=O)C([H])([H])C1([H])[H],0.0007
[H]C1([H])OC(=O)C1([H])[H],0.0008
[H]N1C([H])([H])C(=O)C1([H])[H],0
[H]C1([H])OC([H])([H])C1=O,0
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.0006
[H]C([H])([H])C1([H])OC([H])([H])C1([H])[H],0.0074
[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],0.0003
[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],0.0094
[H]OC1([H])C([H])([H])OC1([H])[H],0.0009
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.0098
[H]OC1([H])C([H])([H])C1([H])C([H])([H])[H],0.0026
[H]C([H])([H])N1C([H])([H])C1([H])C([H])([H])[H],0.0143
[H]C([H])([H])C1([H])OC1([H])C([H])([H])[H],0.0378
[H]OC1([H])C([H])([H])C1([H])O[H],0.0124
[H]C1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.028
[H]C1([H])C2([H])OC1([H])C2([H])[H],0.0013
[H]C#CC([H])([H])C#C[H],0.0002
[H]C#CC([H])([H])C#N,0.0002
[H]C([H])(C#N)C#N,0.0007
[H]C#CC([H])([H])C([H])=O,0.0003
[H]C(=O)C([H])([H])C#N,0.0001
[H]N=C([H])N([H])C([H])=O,0.0002
[H]N=C([H])OC([H])=O,0.0007
[H]C(=O)N([H])C([H])=O,0.0016
[H]C#CC#CC([H])([H])[H],0
[H]C([H])([H])C#CC#N,0
[H]C(=O)C#CC([H])([H])[H],0.0003
[H]OC([H])([H])C#CC([H])([H])[H],0
[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],0
[H]C(=NC([H])([H])[H])OC([H])([H])[H],0.0004
[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],0
[H]C([H])([H])C([H])([H])C([H])([H])C#N,0
[H]N(C([H])([H])[H])C([H])([H])C#N,0.0011
[H]C#CC([H])([H])OC([H])([H])[H],0.0004
[H]C([H])([H])OC([H])([H])C#N,0.0049
[H]C#CC([H])([H])C([H])([H])O[H],0
[H]OC([H])([H])C([H])([H])C#N,0.0002
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.0001
[H]C(=O)N([H])C([H])([H])C([H])([H])[H],0.0011
[H]C(=O)OC([H])([H])C([H])([H])[H],0.0012
[H]C(=O)C([H])([H])OC([H])([H])[H],0.0001
[H]OC([H])([H])C([H])([H])C([H])=O,0.0001
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.0092
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.0001
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],0.0451
[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.0423
[H]OC([H])([H])C([H])([H])OC([H])([H])[H],0.0271
[H]OC([H])([H])C([H])([H])C([H])([H])O[H],0
[H]C#CC1([H])C([H])([H])C1([H])[H],0.0006
[H]C#CC1([H])N([H])C1([H])[H],0.0076
[H]C#CC1([H])OC1([H])[H],0.0065
[H]C1([H])C([H])([H])C1([H])C#N,0.0014
[H]N1C([H])([H])C1([H])C#N,0.0193
[H]C1([H])OC1([H])C#N,0.013
[H]C(=O)C1([H])C([H])([H])C1([H])[H],0.0001
[H]C(=O)C1([H])N([H])C1([H])[H],0.0001
[H]C(=O)C1([H])OC1([H])[H],0.0002
[H]C(=O)N1C([H])([H])C1([H])[H],0.0043
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.008
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H],0.0056
[H]C([H])([H])C([H])([H])N1C([H])([H])C1([H])[H],0.0408
[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],0.0246
[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],0.0014
[H]OC([H])([H])C1([H])N([H])C1([H])[H],0.0144
[H]OC([H])([H])C1([H])OC1([H])[H],0.0022
[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],0.2517
[H]C1=NC([H])([H])C([H])([H])O1,0.006
[H]C1=C([H])C([H])([H])OC1([H])[H],0.1202
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.0003
[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],0.0201
[H]C1([H])OC([H])([H])C([H])([H])O1,0.0333
[H]C1([H])C([H])([H])C2([H])C([H])([H])C12[H],0.0023
[H]C1([H])OC2([H])C([H])([H])C12[H],0.0046
[H]C1([H])C([H])([H])C2([H])OC12[H],0.0139
[H]c1nn([H])c([H])c1[H],0.0788
[H]c1nnn([H])c1[H],0.0084
[H]c1nc([H])n([H])n1,0.0055
[H]c1nnc([H])n1[H],0
[H]c1nn([H])nc1[H],0
[H]c1noc([H])c1[H],0.106
[H]c1nnoc1[H],0.0065
[H]c1noc([H])n1,0.0053
[H]c1nnc([H])o1,0
[H]c1nnno1,0.0002
[H]c1nonc1[H],0
[H]c1nnon1,0.0056
n1nnon1,0.0102
[H]C#CC(=NO[H])C([H])([H])[H],0.0005
[H]ON=C(C([H])([H])[H])C([H])([H])O[H],0.0018
[H]ON=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0025
[H]ON=C1C([H])([H])C([H])([H])C1([H])[H],0.0034
[H]ON=C1C([H])([H])N([H])C1([H])[H],0.0118
[H]ON=C1C([H])([H])OC1([H])[H],0.0028
FC(F)(F)F,0
[H]c1c([H])n([H])c(=O)n1[H],0.0004
[H]c1oc(=O)n([H])c1[H],0.0006
[H]c1oc(=O)oc1[H],0.1401
[H]c1c([H])c(C([H])([H])[H])n([H])c1[H],0.0014
[H]c1oc(C([H])([H])[H])c([H])c1[H],0.2106
[H]c1nc([H])c(C([H])([H])[H])o1,0.2065
[H]c1nc(C([H])([H])[H])oc1[H],0.2016
[H]c1c([H])c(N([H])[H])n([H])c1[H],0.0063
[H]c1oc(N([H])[H])c([H])c1[H],0.0306
[H]c1nc([H])c(N([H])[H])o1,0.1003
[H]c1nc(N([H])[H])oc1[H],0.1425
[H]Oc1c([H])c([H])c([H])n1[H],0.0004
[H]Oc1c([H])nc([H])n1[H],0.0007
[H]Oc1nc([H])c([H])n1[H],0.0003
[H]c1c(C([H])([H])[H])c([H])n([H])c1[H],0.0001
[H]c1nc(C([H])([H])[H])c([H])n1[H],0.0001
[H]c1oc([H])c(C([H])([H])[H])c1[H],0.1353
[H]c1nc(C([H])([H])[H])c([H])o1,0.1232
[H]c1c(N([H])[H])c([H])n([H])c1[H],0.0047
[H]c1nc(N([H])[H])c([H])n1[H],0.0691
[H]c1oc([H])c(N([H])[H])c1[H],0.0163
[H]c1nc(N([H])[H])c([H])o1,0.08
[H]Oc1c([H])c([H])n([H])c1[H],0.0004
[H]Oc1nc([H])n([H])c1[H],0.0002
[H]Oc1nc([H])oc1[H],0.1115
[H]c1c([H])c([H])n(C([H])([H])[H])c1[H],0.1256
[H]c1nc([H])n(C([H])([H])[H])c1[H],0.1493
[H]c1c([H])c([H])c([H])c([H])c1[H],0
[H]c1nc([H])c([H])c([H])c1[H],0.0041
[H]c1nc([H])c([H])nc1[H],0.0051
[H]c1nc([H])c([H])c([H])n1,0.0051
[H]c1nc([H])nc([H])n1,0
[H]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],0
[H]N([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],0.0188
[H]C#CC(O[H])(C([H])([H])[H])C([H])([H])[H],0
[H]OC(C#N)(C([H])([H])[H])C([H])([H])[H],0.0028
[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
[H]OC(C([H])=O)(C([H])([H])[H])C([H])([H])[H],0.0001
[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
[H]OC([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H],0.0001
[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.0294
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0111
[H]C([H])([H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0
[H]C([H])([H])C#CC(=O)C([H])([H])[H],0.0002
[H]N([H])C(=O)C#CC([H])([H])[H],0.0001
[H]C([H])([H])C#CC([H])(C([H])([H])[H])C([H])([H])[H],0.0002
[H]OC([H])(C#CC([H])([H])[H])C([H])([H])[H],0.0004
[H]C#CC([H])([H])C(=O)C([H])([H])[H],0.0002
[H]C([H])([H])C(=O)C([H])([H])C#N,0
[H]C#CC([H])([H])C(=O)N([H])[H],0.0005
[H]N([H])C(=O)C([H])([H])C#N,0.0005
[H]N=C(N([H])C([H])=O)C([H])([H])[H],0.0008
[H]N=C(OC([H])=O)C([H])([H])[H],0.0005
[H]C(=O)C([H])([H])C(=O)C([H])([H])[H],0.0012
[H]N=C([H])N([H])C(=O)C([H])([H])[H],0.0001
[H]C(=O)N([H])C(=O)C([H])([H])[H],0.0013
[H]N=C([H])OC(=O)C([H])([H])[H],0
[H]C(=O)C([H])([H])C(=O)N([H])[H],0.0003
[H]N=C([H])N([H])C(=O)N([H])[H],0.0013
[H]C(=O)N([H])C(=O)N([H])[H],0.001
[H]N=C([H])OC(=O)N([H])[H],0.0017
[H]C#CC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,0
[H]C#CC([H])([H])C([H])(O[H])C([H])([H])[H],0
[H]OC([H])(C([H])([H])[H])C([H])([H])C#N,0.0069
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C#N,0.0143
[H]C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0001
[H]C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0009
[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],0.0009
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])=O,0.0001
[H]C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H],0.0001
[H]OC([H])([H])C([H])([H])C(=O)C([H])([H])[H],0
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.0003
[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0006
[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])[H],0.0003
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0.0012
[H]N([H])C(=O)OC([H])([H])C([H])([H])[H],0.0005
[H]C([H])([H])OC([H])([H])C(=O)C([H])([H])[H],0
[H]N([H])C(=O)C([H])([H])OC([H])([H])[H],0.0008
[H]OC([H])([H])C([H])([H])C(=O)N([H])[H],0.0003
[H]C([H])(C(=O)[O-])C([H])([H])[N+]([H])([H])[H],0.0676
[H]OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0002
[H]OC([H])([H])C([H])([H])C([H])(O[H])C([H])([H])[H],0.0003
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0233
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0.012
[H]C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.017
[H]C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0431
[H]OC([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H],0.0238
[H]C([H])([H])C(=O)C(=O)C([H])([H])[H],0.0001
[H]N([H])C(=O)C(=O)C([H])([H])[H],0
[H]N([H])C(C(=O)[O-])=[N+]([H])[H],0.0001
[H]N([H])C(=O)C(=O)N([H])[H],0
[H]C([H])([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.0002
[H]N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.0011
[H]OC([H])(C(=O)C([H])([H])[H])C([H])([H])[H],0
[H]OC([H])(C(=O)N([H])[H])C([H])([H])[H],0.0009
[H]C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],0.0007
[H]N([H])C(=O)N(C([H])([H])[H])C([H])([H])[H],0.029
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0
[H]OC([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.0046
[H]OC([H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],0.0018
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0.0063
[H]C([H])([H])C1(C([H])([H])[H])OC([H])([H])C1([H])[H],0.0013
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])OC1([H])[H],0.0017
[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0.0124
[H]OC1(C([H])([H])[H])C([H])([H])OC1([H])[H],0.0047
[H]OC1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.0049
[H]OC1([H])C([H])([H])C1(O[H])C([H])([H])[H],0.0076
[H]C([H])([H])C1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.0294
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],0.0051
[H]C([H])([H])C1([H])OC1(C([H])([H])[H])C([H])([H])[H],0.0195
[H]C([H])([H])N1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.0098
[H]N=C1OC([H])(C([H])([H])[H])C1([H])[H],0.0075
[H]C([H])([H])C1([H])C([H])([H])C(=O)C1([H])[H],0.0001
[H]N1C(=O)C([H])([H])C1([H])C([H])([H])[H],0.0006
[H]C([H])([H])C1([H])OC(=O)C1([H])[H],0.0007
[H]C([H])([H])N1C([H])([H])C(=O)C1([H])[H],0
[H]OC1([H])C([H])([H])C(=O)C1([H])[H],0.0001
[H]C([H])([H])C1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0.0058
[H]C([H])([H])C1([H])OC([H])(C([H])([H])[H])C1([H])[H],0.0125
[H]OC1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0.0038
[H]OC1([H])C([H])([H])N(C([H])([H])[H])C1([H])[H],0.0206
[H]OC1([H])C([H])([H])C([H])(O[H])C1([H])[H],0
[H]C([H])([H])C12C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.0265
[H]C([H])([H])C12OC([H])(C1([H])[H])C2([H])[H],0.0142
[H]C([H])([H])C12C([H])([H])N(C1([H])[H])C2([H])[H],0.0329
[H]OC12C([H])([H])C([H])(C1([H])[H])C2([H])[H],0.0024
[H]OC12C([H])([H])N(C1([H])[H])C2([H])[H],0.0655
[H]C#CC(=O)C#C[H],0
[H]C#CC(=O)C#N,0
N#CC(=O)C#N,0
[H]C#CC(=O)C([H])=O,0
[H]C(=O)C(=O)C#N,0
[H]C#CC([H])(C#C[H])C([H])([H])[H],0.0007
[H]C#CC([H])(C#N)C([H])([H])[H],0.0004
[H]C([H])([H])C([H])(C#N)C#N,0.0019
[H]C#CC([H])(C#N)N([H])[H],0.0005
[H]N([H])C([H])(C#N)C#N,0.0303
[H]C#CC([H])(C#C[H])O[H],0.0025
[H]C#CC([H])(C#N)O[H],0.0004
[H]OC([H])(C#N)C#N,0
[H]C#CC([H])(C([H])=O)C([H])([H])[H],0.0009
[H]C(=O)C([H])(C#N)C([H])([H])[H],0.0003
[H]C#CC([H])(O[H])C([H])=O,0.0014
[H]OC([H])(C#N)C([H])=O,0.0004
[H]C(=O)C([H])(C([H])=O)C([H])([H])[H],0.0013
[H]N=C([H])N(C([H])=O)C([H])([H])[H],0.0005
[H]C(=O)N(C([H])=O)C([H])([H])[H],0.0015
[H]OC([H])(C([H])=O)C([H])=O,0.0017
[H]N([H])C(C#N)=NC([H])([H])[H],0.001
[H]C(=O)C(=NC([H])([H])[H])N([H])[H],0.0001
[H]C#CC(=O)C([H])([H])C([H])([H])[H],0
[H]C([H])([H])C([H])([H])C(=O)C#N,0.0002
[H]N=C(C#N)N([H])C([H])([H])[H],0.0034
[H]C#CC(=O)N([H])C([H])([H])[H],0.0001
[H]C#CC(=O)OC([H])([H])[H],0
[H]C([H])([H])OC(=O)C#N,0
[H]C#CC(=O)C([H])([H])O[H],0.0001
[H]OC([H])([H])C(=O)C#N,0.0003
[H]C(=O)C(=O)C([H])([H])C([H])([H])[H],0.0001
[H]N=C(C([H])=O)N([H])C([H])([H])[H],0.0007
[H]C(=O)C(=O)N([H])C([H])([H])[H],0.0001
[H]C(=O)C(=O)OC([H])([H])[H],0
[H]OC([H])([H])C(=O)C([H])=O,0.0001
[H]C([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H],0
[H]OC([H])([H])C(=O)C([H])([H])C([H])([H])[H],0
[H]N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],0.0005
[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])[H],0.0008
[H]OC([H])([H])C(=O)N([H])C([H])([H])[H],0.0017
[H]N(C(=O)N([H])C([H])([H])[H])C([H])([H])[H],0.0001
[H]N(C(=O)OC([H])([H])[H])C([H])([H])[H],0.0001
[H]N([H])C([H])([H])C(=O)OC([H])([H])[H],0.001
[H]OC([H])([H])C(=O)OC([H])([H])[H],0.0009
[H]OC([H])([H])C(=O)C([H])([H])O[H],0
[H]C([H])([H])N=C(OC([H])([H])[H])C([H])([H])[H],0
[H]C#CC([H])(C([H])([H])[H])C([H])([H])O[H],0
[H]OC([H])([H])C([H])(C#N)C([H])([H])[H],0.0002
[H]C#CC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0
[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])[H],0
[H]N([H])C([H])(C#N)C([H])([H])C([H])([H])[H],0.0256
[H]C#CC([H])(O[H])C([H])([H])C([H])([H])[H],0
[H]OC([H])(C#N)C([H])([H])C([H])([H])[H],0.0018
[H]N(C([H])([H])[H])C([H])(C#N)C([H])([H])[H],0.0022
[H]C#CC([H])(OC([H])([H])[H])C([H])([H])[H],0.0003
[H]C([H])([H])OC([H])(C#N)C([H])([H])[H],0.0013
[H]OC([H])([H])C([H])(C#N)N([H])[H],0.0179
[H]N([H])C([H])([H])C([H])(C#N)N([H])[H],0.0014
[H]OC([H])(C#N)C([H])([H])N([H])[H],0.0098
[H]C#CC([H])(O[H])C([H])([H])O[H],0.0001
[H]OC([H])([H])C([H])(C#N)O[H],0.0003
[H]OC([H])([H])C([H])(C([H])=O)C([H])([H])[H],0.0002
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0001
[H]OC([H])(C([H])=O)C([H])([H])C([H])([H])[H],0.0002
[H]C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.001
[H]C(=O)C([H])(OC([H])([H])[H])C([H])([H])[H],0.0001
[H]OC([H])([H])C([H])(O[H])C([H])=O,0.0005
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])O[H],0.0001
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0018
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0002
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0159
[H]OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0078
[H]OC([H])([H])C([H])(O[H])C([H])([H])C([H])([H])[H],0.002
[H]OC([H])([H])C([H])(OC([H])([H])[H])C([H])([H])[H],0.004
[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],0.0006
[H]C#CC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0002
[H]C([H])([H])C1(C#N)C([H])([H])C1([H])[H],0.0006
[H]C#CC1(C([H])([H])[H])N([H])C1([H])[H],0.0027
[H]N1C([H])([H])C1(C#N)C([H])([H])[H],0.0114
[H]C#CC1(C([H])([H])[H])OC1([H])[H],0.0052
[H]C([H])([H])C1(C#N)OC1([H])[H],0.0115
[H]N([H])C1(C#N)C([H])([H])C1([H])[H],0.0001
[H]C#CC1(O[H])C([H])([H])C1([H])[H],0.0007
[H]OC1(C#N)C([H])([H])C1([H])[H],0.0014
[H]C(=O)C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0002
[H]C(=O)C1(C([H])([H])[H])N([H])C1([H])[H],0.0004
[H]C(=O)C1(C([H])([H])[H])OC1([H])[H],0.0002
[H]OC1(C([H])=O)C([H])([H])C1([H])[H],0.0001
[H]OC([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0012
[H]OC([H])([H])C1(C([H])([H])[H])N([H])C1([H])[H],0.0123
[H]OC([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.0009
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0256
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.004
[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],0.011
[H]C([H])([H])OC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.0008
[H]OC([H])([H])C1(O[H])C([H])([H])C1([H])[H],0.0289
[H]C([H])([H])C1([H])C(=O)C([H])([H])C1([H])[H],0.0002
[H]N1C(=O)C([H])(C([H])([H])[H])C1([H])[H],0.0009
[H]N=C1OC([H])([H])C1([H])C([H])([H])[H],0.0079
[H]C([H])([H])C1([H])C(=O)OC1([H])[H],0.001
[H]N1C([H])([H])C(=O)C1([H])C([H])([H])[H],0
[H]C1([H])OC([H])(C([H])([H])[H])C1=O,0.0001
[H]C([H])([H])N1C(=O)C([H])([H])C1([H])[H],0.0006
[H]N=C1OC([H])([H])C1([H])N([H])[H],0.0116
[H]N([H])C1([H])C(=O)OC1([H])[H],0.0026
[H]OC1([H])C(=O)C([H])([H])C1([H])[H],0.0003
[H]OC1([H])C(=O)N([H])C1([H])[H],0.0007
[H]N=C1OC([H])([H])C1([H])O[H],0.0067
[H]OC1([H])C(=O)OC1([H])[H],0.0008
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.0231
[H]OC1([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.0035
[H]C([H])([H])C1([H])OC([H])([H])C1([H])C([H])([H])[H],0.0128
[H]OC1([H])C([H])([H])OC1([H])C([H])([H])[H],0.0024
[H]OC1([H])C([H])([H])C([H])([H])C1([H])O[H],0.0061
[H]N=C1N([H])C([H])=NC1([H])[H],0.0097
[H]C1=C([H])C([H])([H])C(=O)C1([H])[H],0
[H]C1=C([H])C([H])([H])C(=O)N1[H],0.0006
[H]C1=NC([H])([H])C(=O)N1[H],0.0026
[H]C1=NC([H])([H])C(=O)O1,0.0025
