smiles,band_gap
CCCC1(CN1C)C#N,0.2767
CC1C2CC3CC2C1O3,0.3191
CC1C2(C)OC=NC12C,0.2553
CC1OCC1OCCO,0.319
CNC=[NH+]C1=NC=N[N-]1,0.134
OC1C2C=CC1C2O,0.2404
C1C(=NO)COC(=O)O1,0.2512
CC(O)C1CCN=CO1,0.272
C(=O)C(=N)NC=O,0.1674
CC1CC1OCC1CC1,0.3325
CC1CC2C3CC2C1C3,0.3652
C1OC11CC2CCC1O2,0.3236
CC1(CN1)C(CO)C#C,0.2904
C1C2C1C1CCCC21,0.3215
CC(C)Nc1c[nH]cn1,0.2168
C1CC2(C1)CNC2=O,0.2782
N=C1CC2CC(C2)O1,0.2746
CCOc1cc[nH]c1N,0.231
C1OC23CCN=C2OC13,0.243
CCN=C(C(=O)C#N)N,0.1583
CC1=CC(=O)C(=O)NC1,0.1647
CC1OCC=C1C=O,0.1817
C#CC12CC1OC2C#N,0.2456
CC(=O)C1CN1CC#C,0.2032
C(C(CO)C(=O)C=O)O,0.1512
OCC(O)C1(O)CC1O,0.3026
N#CC1CC2=CC=CN12,0.2158
C1C2OC3CC3C=CC12,0.2453
OC1CC2C3C4CC13N24,0.3255
CCC1C(C)C(O)C1=O,0.2218
CC1N2CC(C2)NC1=O,0.2357
Cc1[nH]nc(n1)C(C)C,0.2624
CC1C2CCC1C2CO,0.338
OC1(CCOC1)C1CN1,0.303
O=C1C2CC3OC1OC23,0.2087
C1CC1(CCO)CCO,0.3394
CC1CC1(O)C(C)(C)C,0.3176
OC1C2CC3CC1C23,0.3199
CCC1C(OC)C1(C)O,0.2951
C1CC1N(C=O)C(=O)N,0.2385
CN1C2C1C(=O)C=C2N,0.1901
CC1C2(C)CCC12C#N,0.2779
COCC1CC(O)C1,0.3278
OCCC12CC(=O)C1O2,0.2167
CC(=O)OC(CN)C#N,0.2573
CCC12CC(C1)(C2)C#C,0.3023
CC1(C)NC1C#CC=O,0.1976
N#CC1C2OC2C11CC1,0.2926
CC1(C)CC(=N)O1,0.2895
CN=C1CC2C(C#C)N12,0.2393
CC12CC(O)C(O1)C2O,0.3215
CC1(O)CC11CNC1=O,0.2587
CC1C=CC2C1OC2=N,0.2571
CC1(CNC1=O)N1CC1,0.2493
C#CC(=O)NC=O,0.1986
CCCC1OC2CC12,0.321
CCCOCC#CC#C,0.2215
CC12CC1(C)OCCO2,0.3032
CC1(C)C=CCC1C#N,0.2649
CC1CC1OC1COC1,0.3186
C#CC12CC3C(OC1)C23,0.274
CC(C)n1ccoc1=O,0.237
CCOC1=NC2CC2C1,0.2592
Cn1c(noc1=O)C#C,0.1975
c1cnc2c(n1)CCC2,0.1928
C#CC12CN1C(C2)C#N,0.2471
CCOC1(CC1)C1CN1,0.3299
CC(O)C(=N)OC(N)=O,0.2558
CC1C2C=CC(C#C)N12,0.2249
C(CO)NCC(=O)C=O,0.1145
CC1C2N1CCC21CC1,0.3106
CCOC(=O)C1CC1O,0.2478
NC1=NCC(OC=O)O1,0.2373
CC12CCOCC1CO2,0.3147
COC1C(CO)NC1=O,0.2562
C1CC23CC=CC(O2)C13,0.2438
CCC12CC3C1N3C2,0.3026
N#CC1C2CCC1N2C,0.2611
OC12CC(C=C1)C21CN1,0.2415
CCC(CC)OC(=O)N,0.3255
[NH3+]C(CN1CC1)C([O-])=O,0.2726
CN1CC11COC=NC1,0.2544
O1CC23COC2CC13,0.3077
CC1C(O)C1C(C)=NO,0.2277
C(C#CC#N)C(=O)N,0.2319
c1c(=O)[nH]c(cn1)F,0.1737
C[NH2+]CC#CC([O-])=O,0.2052
CCc1nc2n(n1)CC2,0.2679
CC(=O)C1(CCC1)C#C,0.223
NC1CCCC1(N)C#N,0.2723
CCC(=O)NC(=N)C#C,0.2025
CNC1=NC2(CC2)CO1,0.2593
CC12CC1(C)C(=O)OC2,0.2726
NC1C2C(O)C2OC1=O,0.2486
CN1C=C(CC1=O)C#C,0.1773
O=CN1CC11CCC=C1,0.2414
CC#CCn1cncn1,0.2716
CCC12CC(C1)NC2=O,0.258
OCC12C3CC1C(=O)C23,0.2424
CCC(CC)C#N,0.349
O=C1NCC2NC2CO1,0.301
C1CC2(CC=C1)COC2,0.2655
CN1CC(O)C(O)C1=O,0.2702
CCC(CC(N)=O)OC,0.2727
CC1(C=O)C2CC(=O)C12,0.2099
CCNC1CNC1C#N,0.2461
CC12C3N1C1C=C2C=C31,0.1417
CC(O)C1CC(O)CO1,0.3032
CC#CCC=O,0.2194
CC#Cc1c(nc[nH]1)C,0.203
N=C1OC=NOC1=O,0.2116
OCCN1CC1CC#N,0.2772
COC1=NC=NC(=N)N1,0.1911
OC(C#C)C1(CC1)C#N,0.2881
CNC(=O)C1(O)CC1C,0.2685
CC1OC2C(O)C(O)C12,0.2805
CCC12COC1C(=N)N2,0.2495
OC12C3OC1C3C21OC1,0.3046
C#Cc1c(c(c[nH]1)O)N,0.1849
C1C2C1C1C3C4C(C23)N14,0.3107
CC1OCC(=O)C1O,0.2199
CC(C)C12OCC1C2O,0.2909
C(=N)(C(=O)NC(=O)N)N,0.2105
CC1(O)CC2OC12C#C,0.2596
CC(=O)CC1CCO1,0.2284
C1C2CC1C1OC1C=C2,0.2376
NC=[NH+]C1=C(O)N=N[N-]1,0.1285
CC12CC(O1)C(=C2)C#C,0.1904
c1nc(=O)[nH]nn1,0.1594
CCCC(O)CC#CC,0.2938
OC1CC2(CC12)C1CO1,0.3179
CC(=O)OCCOC=N,0.2718
CC(C)(C)CC(C)(C)O,0.3194
C1C2CC3=C(N=CO3)N12,0.2153
C#CC1(CC#N)CCO1,0.2769
Cc1cncnc1N,0.2176
OCC1CC(C1)N1CC1,0.3056
CC1COC(=N)C(C)C1,0.2755
COCC1(C)OC1(C)C,0.3312
C1OC11CN=C2NCC12,0.2508
CN1C2C3C4OC2C1C34,0.3127
CC1=CC2CC3N2C13C,0.2192
CC1CCC2C(CO)C12,0.3281
