smiles,heat_capacity
CC1(CN1)C#N,21.524
CC1(CO1)C#C,22.957
CC1(CO1)C#N,20.903
C1CC1(C#N)N,21.894
C#CC1(CC1)O,23.372
C1CC1(C#N)O,21.226
CC1(CC1)C=O,23.265
CC1(CN1)C=O,22.432
CC1(CO1)C=O,21.75
C1CC1(C=O)O,21.796
CC1(CC1)CO,25.913
CC1(CO)CN1,24.487
CC1(CO)CO1,23.915
CCC1(CC1)C,27.138
CCC1(C)CO1,25.512
CCC1(CC1)O,26.023
CC1(CC1)OC,25.705
C1CC1(CO)O,24.458
CC1CCC1=O,22.502
CC1CNC1=O,21.625
CC1COC1=N,21.067
CC1COC1=O,20.03
CC1NCC1=O,21.712
CC1OCC1=O,20.774
CN1CCC1=O,21.114
NC1COC1=N,20.618
NC1COC1=O,19.618
OC1CCC1=O,21.28
OC1CNC1=O,20.351
OC1COC1=N,19.922
OC1COC1=O,18.879
CC1CCC1C,25.85
CC1CCC1O,24.662
CC1COC1C,24.15
CC1OCC1O,23.068
OC1CCC1O,22.931
N=C1CN=CN1,18.459
C1C=CCC1=O,19.177
C1C=CNC1=O,18.76
C1C(=O)NC=N1,17.274
C1C(=O)OC=N1,15.897
N=C1OCC=C1,17.709
C1CC(=O)C=C1,18.812
C1C=CC(=O)N1,18.405
N=C1CCCO1,19.419
N=C1COCO1,17.785
N=C1OCCO1,17.613
C1CCC(=O)C1,20.712
C1CC(=O)NC1,19.794
C1CC(=O)OC1,18.482
C1COCC1=O,19.062
C1C(=O)OCO1,16.844
C1CNC(=O)N1,18.931
C1COC(=O)N1,17.739
C1COC(=O)O1,16.45
CC1=CCCC1,22.921
CC1=CCOC1,21.372
CC1=NCCO1,20.206
CC1CC=CC1,22.613
CC1CN=CO1,19.819
OC1CC=CC1,21.267
CC1CCC=C1,22.655
CC1COC=N1,19.822
CC1OCC=C1,21.19
OC1CCC=C1,21.367
CC1CCCC1,24.306
CC1CCCO1,22.689
CC1CCOC1,22.656
CC1COCO1,20.939
CC1OCCO1,21.023
C1CCC(C1)O,22.879
OC1CCOC1,21.242
CC1C(C)C1C,27.583
CC1C(C)C1O,26.227
CC1C(C)N1C,26.797
CC1C(O)C1O,24.471
OC1C(O)C1O,21.828
CC12CC1CC2,22.864
CC12CC1CO2,21.408
CC12CC1OC2,21.353
CC12CCC1O2,21.539
OC12CC1CC2,21.746
OC12CC1OC2,20.187
C#CC#CC#C,21.875
C#CC#CC#N,19.266
C(#CC#N)C#N,17.827
C#CCCC#C,24.211
C#CCCC#N,22.093
C(CC#N)C#N,20.047
C#CC#CC=O,20.052
C(=O)C#CC#N,17.93
C(=O)C#CC=O,19.025
N=COCC#C,21.973
N=COCC#N,20.023
C#CCCC=O,23.097
C(CC#N)C=O,21.004
C#CCNC=O,22.134
C(C#N)NC=O,20.073
C#CCOC=O,20.964
C(C#N)OC=O,19.01
N=COCC=O,21.086
C(CC=O)C=O,21.865
C(C=O)NC=O,21.048
C(C=O)OC=O,20.074
CC#CC#CC,24.215
CC#CCC#C,24.454
CC#CCC#N,22.357
CC#CCC=O,23.348
CN=CNC=O,22.098
CN=COC=O,21.182
CCC#CC#C,24.101
CCC#CC#N,21.754
C#CC#CCO,22.78
C(C#CC#N)O,20.574
CCC#CC=O,22.875
C(C#CC=O)O,21.633
CCC#CCC,26.786
CCC#CCO,25.564
C(C#CCO)O,24.334
CCN=COC,25.268
CC#CCCO,25.727
CCCC#CC,27.01
CC#CCOC,25.219
CCOC=NC,25.249
CCCCC#C,26.865
CCCCC#N,24.704
CCNCC#N,23.932
CCOCC#C,25.17
CCOCC#N,23.105
COCCC#C,25.054
COCCC#N,22.978
C#CCCCO,25.617
C(CC#N)CO,23.456
CCCCC=O,25.654
CCCNC=O,24.754
CCCOC=O,23.614
CCOCC=O,24.186
COCCC=O,23.884
C(CC=O)CO,24.408
C(CO)NC=O,23.171
OCCOC=N,23.021
C(COC=O)O,22.123
CCCCCC,29.423
CCCCCO,28.145
CCCCOC,27.616
CCCOCC,27.758
CCOCCO,25.975
COCCCO,26.355
COCCOC,25.869
C(CCO)CO,26.875
C#CC1CCC1,22.582
C#CC1CCO1,20.79
C#CC1COC1,20.748
C1CC(C1)C#N,20.406
N#CC1CCN1,19.583
N#CC1CCO1,18.731
C1C(CO1)C#N,18.623
C1CC(C1)C=O,21.345
O=CC1CCO1,19.792
C1C(CO1)C=O,19.531
C1CN(C1)C=O,20.138
CN=C1CCO1,21.051
CCC1CCC1,25.155
CCC1CCO1,23.46
CCC1COC1,23.307
COC1CCC1,23.494
COC1COC1,21.718
C1CC(C1)CO,23.883
OCC1CCO1,21.686
C1C(CO1)CO,21.983
C#CCC1CC1,23.656
C#CCC1CO1,21.894
C#CCN1CC1,22.525
C1CC1CC#N,21.499
N#CCC1CN1,20.503
N#CCC1CO1,19.788
C1CN1CC#N,20.445
N=COC1CC1,21.614
C1CC1CC=O,22.45
O=CCC1CN1,21.436
O=CCC1CO1,20.727
C1CN1CC=O,21.491
C1CC1NC=O,21.624
C1CC1OC=O,20.641
CC#CC1CC1,23.778
CC#CC1CN1,22.736
CC#CC1CO1,22.011
CCCC1CC1,26.225
CCCC1CO1,24.439
CCCN1CC1,25.133
CCOC1CC1,24.716
COCC1CC1,24.416
COCC1CN1,23.382
COCC1CO1,22.684
C1CC1CCO,24.947
OCCC1CO1,23.19
C1CN1CCO,23.25
CC1CC1C#C,24.264
CC1CC1C#N,22.047
CC1NC1C#C,23.34
CC1NC1C#N,21.255
CC1OC1C#C,22.566
CC1OC1C#N,20.526
CN1CC1C#C,23.195
CN1CC1C#N,21.063
OC1CC1C#C,23.083
OC1CC1C#N,20.749
CC1CC1C=O,22.99
CC1CN1C=O,21.744
CC1NC1C=O,22.227
CC1OC1C=O,21.263
CN1CC1C=O,21.853
OC1CC1C=O,21.753
CC1CC1CO,25.586
CC1NC1CO,24.284
CC1OC1CO,23.742
CCC1CC1C,26.871
CCC1CC1O,25.546
CCC1CN1C,25.815
CCC1OC1C,25.244
CCN1CC1C,25.937
CN1CC1CO,24.591
COC1CC1C,25.184
COC1CC1O,23.699
OCC1CC1O,24.284
CC(=O)C1CC1,23.02
CC(=O)C1CN1,21.929
CC(=O)C1CO1,21.502
CC(=O)N1CC1,22.044
C1CC1C(=O)N,22.773
NC(=O)C1CN1,21.626
NC(=O)C1CO1,20.679
C1CN1C(=O)N,21.345
CC(C)C1CC1,26.909
CC(C)C1CO1,24.967
CC(C)N1CC1,25.853
CC(O)C1CC1,25.76
CC(O)C1CN1,24.483
CC(O)C1CO1,23.351
C1CC2(C1)CC2,22.515
C1CC12CCO2,20.986
C1CC12COC2,20.683
C1C2(N1)COC2,19.776
C1CC2(C1)CO2,20.831
C1C2(CO1)CO2,19.054
C1C2CC1C=C2,18.431
C1C2OC1C=C2,17.166
C1C2CC1CC2,19.641
C1C2CC1OC2,18.239
C1C2CCC1O2,18.387
CC1C2CC1C2,21.437
CC1C2CC1O2,20.486
OC1C2CC1C2,20.256
OC1C2CC1O2,19.211
C1COCC=C1,19.969
C1CCC=CC1,21.521
C1CN=COC1,18.772
C1CCCCC1,23.005
C1CCOCC1,21.275
C1COCCO1,19.679
C1COCOC1,19.492
C1CC2CCC12,20.966
C1CC2OCC12,19.228
C1OC2COC12,17.525
CC1C2CCC12,22.427
CC1C2COC12,20.81
OC1C2CCC12,21.07
OC1C2COC12,19.197
C1C2CC=CC12,19.325
C1C2OC=NC12,16.529
C1C=CC2NC12,18.523
C1C=CC2OC12,17.799
C1C2CCCC12,20.793
C1C2CCOC12,19.348
C1C2COCC12,19.082
C1C2OCOC12,17.914
C1CC2OC2C1,19.278
C1OCC2NC12,18.366
C1OCC2OC12,17.597
N=C1OC2CC12,17.951
O=C1CC2CC12,18.866
O=C1CC2CN12,17.971
O=C1CC2NC12,18.256
O=C1CC2OC12,17.466
O=C1CN2CC12,17.9
O=C1NC2CC12,17.968
O=C1OC2CC12,16.913
CC1CC2CC12,22.557
CC1CC2OC12,21.008
CC1OC2CC12,21.073
OC1CC2CC12,21.241
OC1CC2NC12,19.981
OC1CC2OC12,19.349
OC1CN2CC12,20.301
C1C2C3CC2C13,17.897
C1C2C3CN2C13,17.197
C1C2C3OC2C13,16.757
N1C2C3NC2C13,16.494
N1C2C3OC2C13,16.085
O1C2C3OC2C13,15.634
C1CC1C2CC2,23.14
C1CC1C1CO1,21.36
C1CC1N2CC2,22.08
C1NC1C1CN1,20.774
C1NC1C1CO1,20.405
C1OC1C1CO1,19.299
C1C2C1C1CC21,19.575
C1C2C1C1NC21,18.749
C1C2C1C1OC21,17.954
C1C2C1N1CC21,18.623
N1C2C1C1NC21,18.091
N1C2C1C1OC21,17.268
O1C2C1C1OC21,16.443
C1C2C3C1CN23,17.203
C1C2C3CC1C23,18.147
C1C2C3CC1N23,17.15
C1C2C3CN1C23,17.297
C1C2C3OC1C23,16.78
C12C3C1C1C2C31,16.7
C12C3C1N1C2C31,15.652
c1ccnnc1,15.478
c1cnnnc1,14.974
c1nncnn1,14.117
c1ncnnn1,14.143
c1cnnnn1,14.62
Cc1ccn[nH]1,19.333
Cc1ccno1,18.293
Cc1cnn[nH]1,18.283
Cc1cnno1,17.83
Cc1c[nH]nc1,19.376
Cc1c[nH]nn1,18.403
Cc1cnoc1,18.255
Cc1conn1,17.814
Cc1[nH]ncn1,18.063
Cc1ncno1,17.122
Cc1cc[nH]n1,19.456
Cc1nc[nH]n1,18.13
Cc1cn[nH]n1,18.12
Cc1n[nH]nn1,17.141
Cc1ccon1,18.326
Cc1ncon1,17.13
Cc1cnon1,17.396
Cc1nnon1,16.782
Cn1cccn1,18.727
Cn1ccnn1,17.769
Cn1cncn1,17.404
Cn1cnnc1,17.816
Cn1cnnn1,16.822
Cn1nccn1,17.47
Cn1ncnn1,16.511
Cn1nnnn1,15.918
N=C1NC=NO1,16.918
N=C1NN=NN1,17.538
N=C1OC=NO1,15.318
N=C1ON=NO1,14.861
c1cn[nH]c1N,19.271
c1cnoc1N,18.261
c1c([nH]nn1)N,18.253
c1c(onn1)N,18.297
c1c(cn[nH]1)N,19.37
c1c(nn[nH]1)N,18.15
c1c(con1)N,18.119
c1c(nno1)N,17.458
c1nc([nH]n1)N,17.921
c1nc(on1)N,17.011
c1c[nH]nc1N,19.284
c1[nH]nc(n1)N,17.915
c1c(n[nH]n1)N,18.02
c1(n[nH]nn1)N,16.955
c1conc1N,17.997
c1nc(no1)N,16.859
c1c(non1)N,17.141
c1(nnon1)N,16.477
c1[nH]c(=O)[nH]n1,16.736
c1[nH]c(=O)on1,15.501
c1(=O)[nH]nn[nH]1,15.761
c1(=O)[nH]nno1,14.809
c1noc(=O)o1,14.093
c1(=O)onno1,13.622
c1cn[nH]c1O,18.193
c1c(cn[nH]1)O,18.266
c1c(nn[nH]1)O,16.777
c1nc([nH]n1)O,16.463
c1c[nH]nc1O,17.982
c1[nH]nc(n1)O,16.443
c1c(n[nH]n1)O,16.703
c1(n[nH]nn1)O,15.375
c1conc1O,16.549
c1nc(no1)O,15.356
c1(nnon1)O,14.948
CC#CC(=NO)C,28.751
CC(=NO)CC#C,28.728
CC(=NO)CC#N,26.606
CC(=NO)CC=O,27.474
CC(=NO)CCO,29.947
CCCC(=NO)C,31.298
CC(=NO)COC,29.454
CC(=NO)C(=NO)C,32.871
CC(=NO)C(=O)N,27.696
CC(C)C(=NO)C,31.926
CC(O)C(C)=NO,30.765
CC1CC(C1)=NO,27.432
CN1CC(=NO)C1,26.31
ON=C1CC(O)C1,26.231
C#CC(=NO)C#C,25.689
CCC(=NO)C#C,28.334
C#CC(=NO)CO,27.341
CCC(=NO)CC,31.175
CCC(=NO)CO,29.764
CC1CCC1=NO,27.399
CC1NCC1=NO,26.634
CC1OCC1=NO,25.694
ON=C1CCC1O,26.249
C1C=CCC1=NO,24.048
C1CC(=NO)C=C1,23.956
C1C(=NO)C=CN1,23.572
C1CCC(=NO)C1,25.597
C1COCC1=NO,23.976
CC(=NO)C1CC1,28.125
CC(=NO)C1CN1,27.007
CC(=NO)C1CO1,26.237
ON=C1CC2CC12,23.968
ON=C1CC2NC12,23.232
ON=C1CC2OC12,22.42
ON=C1CN2CC12,22.984
C#CC(F)(F)F,18.453
C(#N)C(F)(F)F,16.614
C(=O)C(F)(F)F,17.598
C(C(F)(F)F)N,20.798
C(C(F)(F)F)O,20.137
CCC(F)(F)F,21.285
Cc1cc([nH]c1)C,26.956
Cc1cc(oc1)C,25.447
Cc1cc(c[nH]1)N,27.008
Cc1cc(co1)N,25.319
Cc1cc(c[nH]1)O,26.021
Cc1cc(co1)O,24.408
Cc1cc([nH]c1)N,26.66
Cc1cc([nH]c1)O,26.021
Cc1c[nH]c(n1)O,24.147
Cc1cc(oc1)N,25.418
Cc1coc(n1)N,24.035
Cc1coc(n1)O,22.747
Cc1c[nH]c(n1)C,25.66
Cc1coc(n1)C,24.251
Cc1nc(co1)N,24.134
Cc1[nH]cc(n1)O,24.217
Cc1nc(co1)O,22.795
c1c(c[nH]c1N)N,26.699
c1c(coc1N)N,25.359
c1c(c[nH]c1N)O,25.73
c1c(coc1N)O,24.468
c1c(c[nH]c1O)N,26.127
c1c(nc([nH]1)O)N,24.196
c1c(nc(o1)O)N,22.672
c1c(nc(o1)N)N,23.972
c1c(nc([nH]1)N)O,24.096
c1c(nc(o1)N)O,22.685
c1c(c[nH]c1O)O,25.256
c1c(nc([nH]1)O)O,22.913
Cc1ccc([nH]1)C,26.775
Cc1ccc(o1)C,25.372
Cc1ccc([nH]1)N,26.483
Cc1ccc(o1)N,25.24
Cc1ccc([nH]1)O,25.805
Cc1cnc(o1)C,24.109
Cc1cnc(o1)N,23.815
Cc1cnc([nH]1)O,23.91
Cc1cnc(o1)O,22.317
Cc1ncc(o1)N,24.011
Cc1[nH]c(cn1)O,24.382
c1cc([nH]c1N)N,26.191
c1cc(oc1N)N,24.934
c1cc([nH]c1N)O,25.469
c1cc(oc1N)O,23.908
c1c(oc(n1)N)N,23.545
c1c([nH]c(n1)O)N,23.632
c1c(oc(n1)O)N,22.048
c1cc([nH]c1O)O,25.03
c1c([nH]c(n1)O)O,22.992
CC1=CNC(=N)O1,24.249
Cc1c[nH]c(=O)[nH]1,24.236
Cc1c[nH]c(=O)o1,22.713
CC1=COC(=N)N1,24.234
CC1=COC(=N)O1,22.302
Cc1coc(=O)[nH]1,22.67
Cc1coc(=O)o1,21.041
NC1=CNC(=N)O1,24.017
c1c([nH]c(=O)[nH]1)N,24.112
c1c(oc(=O)[nH]1)N,22.864
NC1=COC(=N)O1,22.003
c1c([nH]c(=O)o1)N,22.423
c1c(oc(=O)o1)N,21.033
OC1=CNC(=N)O1,23.144
c1c([nH]c(=O)[nH]1)O,23.522
c1c(oc(=O)[nH]1)O,21.918
OC1=COC(=N)N1,23.206
OC1=COC(=N)O1,21.359
c1c(oc(=O)o1)O,20.117
Cc1ccn(c1)C,26.255
Cn1ccc(c1)N,26.188
Cn1ccc(c1)O,25.235
Cc1cn(cn1)C,24.914
Cn1cc(nc1)N,24.717
Cn1cc(nc1)O,23.4
N=C1C=COC=N1,19.406
N=C1N=CNC=N1,19.719
N=C1N=COC=N1,18.417
c1c[nH]ccc1=O,20.814
c1c[nH]cnc1=O,19.72
c1coccc1=O,19.508
c1cocnc1=O,18.555
c1nc(=O)nco1,17.612
N=C1NC=NC=N1,19.148
N=C1OC=CC=C1,20.68
N=C1OC=CC=N1,19.747
N=C1OC=CN=C1,19.72
N=C1OC=NC=C1,19.562
N=C1OC=NC=N1,18.636
c1cc[nH]c(=O)c1,20.367
c1c[nH]c(=O)nc1,19.314
c1cncc(=O)[nH]1,19.446
c1cnc[nH]c1=O,19.155
c1[nH]c(=O)ncn1,18.158
c1ccoc(=O)c1,19.65
c1cnc(=O)oc1,18.79
c1coc(=O)cn1,18.71
c1cncoc1=O,18.589
c1ncoc(=O)n1,17.728
Cc1ccccc1,23.31
Cc1ccncc1,22.167
Cc1cccnc1,22.184
Cc1cnccn1,21.298
Cc1cncnc1,21.246
Cc1ccccn1,22.248
Cc1ncccn1,21.333
Cc1cnccn1,21.298
Cc1ccncn1,21.248
Cc1ncncn1,20.349
c1ccc(cc1)N,23.173
c1cc(cnc1)N,22.057
c1cnc(cn1)N,21.085
c1c(cncn1)N,21.137
c1ccnc(c1)N,21.975
c1cnc(nc1)N,21.04
c1cnc(cn1)N,21.081
c1cncnc1N,21.044
c1ncnc(n1)N,20.266
c1ccc(cc1)O,21.832
c1cnccc1O,20.501
c1cc(cnc1)O,20.718
c1cnc(cn1)O,19.287
c1c(cncn1)O,19.707
c1ccnc(c1)O,20.211
c1cnc(nc1)O,19.027
c1cnc(cn1)O,19.287
c1cncnc1O,19.055
c1ncnc(n1)O,17.897
Cc1cc[nH]c1C,26.923
Cc1ccoc1C,25.395
Cc1c(nc[nH]1)C,25.475
Cc1c(ocn1)C,24.096
Cc1c(cc[nH]1)N,26.72
