smiles,u0_atom
[H]C([H])([H])C(=O)C([H])([H])[H],2.530465967
[H]C(=O)C([H])([H])C([H])([H])[H],2.56411482
[H]C([H])([H])OC([H])([H])C([H])([H])[H],2.013305521
[H]C([H])=C([H])OC([H])([H])[H],2.652902929
[H]OC1([H])C([H])([H])C1([H])[H],2.639533117
[H]C#CC([H])=O,3.937167504
[H]OC([H])([H])C([H])=C([H])[H],2.632623886
[H]C#CC([H])([H])O[H],3.343870919
[H]O[N][C]([H])C([H])([H])[H],3.266792612
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],1.079123618
[H]N([H])C(=O)C([H])([H])[H],3.014740267
[H]C(=O)N([H])C([H])([H])[H],3.072481699
[H][C]([H])[N]OC([H])([H])[H],3.326194055
[H]OC([H])([H])C([H])([H])N([H])[H],2.558820734
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],1.074592239
[H]C([H])=C([H])C([H])=C([H])[H],2.359395196
[H]C#CC([H])=C([H])[H],3.071360071
[H]C#CC#C[H],3.821729504
[H]C(=C([H])C([H])([H])[H])C([H])([H])[H],1.724015111
[H]C([H])=C(C([H])([H])[H])C([H])([H])[H],1.721054012
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.636484166
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],1.205418981
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],1.232696985
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],0.686733121
[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.671568704
[H]C([H])=C([H])OC([H])=C([H])[H],1.950987844
[H]C([H])=C([H])C(=O)C([H])([H])[H],1.847887757
[H]C#CC(=O)C([H])([H])[H],2.573850555
[H]OC([H])(C([H])=C([H])[H])C([H])([H])[H],1.292412484
[H]C#CC([H])(O[H])C([H])([H])[H],1.996884881
[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H],0.955834218
[H]C([H])=C([H])OC([H])([H])C([H])([H])[H],1.302058488
[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],1.356569631
[H]C(OC([H])([H])[H])=C([H])C([H])([H])[H],1.317222905
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.679195777
[H]C([H])=C(OC([H])([H])[H])C([H])([H])[H],1.317133175
[H]C([H])=C([H])C([H])([H])OC([H])([H])[H],1.344411179
[H]C#CC([H])([H])OC([H])([H])[H],2.055254425
[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],1.296001695
[H]C1([H])C(=O)C([H])([H])C1([H])[H],1.854976449
[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],1.306051486
[H]C([H])=C([H])C1([H])C([H])([H])C1([H])[H],1.069477613
[H]C(=O)C1([H])C([H])([H])C1([H])[H],1.900065913
[H]C#CC([H])([H])C([H])=O,2.593770677
[H]OC([H])([H])C([H])([H])C([H])=C([H])[H],1.299142254
[H]C#CC([H])([H])C([H])([H])O[H],1.996077308
[H]C1=NOC([H])([H])C1([H])[H],2.530735158
[H]C1=NOC([H])=C1[H],3.065258412
[H]ON=C(C([H])([H])[H])C([H])([H])[H],1.909442727
[H]O[N][C]([H])C([H])([H])C([H])([H])[H],1.93313152
[H]N([H])C(=O)C([H])([H])C([H])([H])[H],1.692071133
[H]C#CC1([H])C([H])([H])C1([H])[H],1.754613135
[H]OC([H])([H])C([H])(N([H])[H])C([H])([H])[H],1.207078991
[H]C(=O)N([H])C([H])([H])C([H])([H])[H],1.729802714
[H]OC([H])(C([H])([H])[H])C([H])([H])N([H])[H],1.199990299
[H][C]([H])[N]OC([H])([H])C([H])([H])[H],1.984726428
[H]OC([H])([H])C([H])([H])N([H])C([H])([H])[H],1.245393819
[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],1.759413705
[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],1.722489697
[H]C(=O)C([H])([H])N([H])C([H])([H])[H],1.853451034
[H]N([H])C([H])([H])C([H])([H])OC([H])([H])[H],1.26697395
[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H],1.053012107
[H][C]([N]OC([H])([H])[H])C([H])([H])[H],1.972074459
[H]OC1([H])C([H])([H])C1([H])N([H])[H],1.893784794
[H]N([H])C1([H])C([H])([H])OC1([H])[H],1.913570319
[H]N([H])C([H])([H])C1([H])OC1([H])[H],1.912628151
[H]OC([H])([H])C([H])([H])C([H])([H])N([H])[H],1.228031011
[H]C(=O)C([H])=C([H])N([H])[H],2.384295347
[H]C([H])=C([H])C(=O)N([H])[H],2.337231818
[H]C#CC(=O)N([H])[H],3.062028122
[H]N1C(=O)C([H])([H])C1([H])[H],2.363612519
[H]OC1([H])C([H])([H])N([H])C1([H])[H],1.909352996
[H]C#CC([H])([H])C([H])=C([H])[H],1.75604882
[H]N1C([H])([H])C(=O)C1([H])[H],2.472679669
[H]OC([H])([H])C1([H])N([H])C1([H])[H],1.905045943
[H]C(=O)C1([H])N([H])C1([H])[H],2.495964676
[H]C(=O)N1C([H])([H])C1([H])[H],2.496727383
[H]O[N]C([H])=C([H])[C]([H])[H],2.56716565
[H]C#C[C]([H])[N]O[H],3.296089547
[H]C1SC([H])=C([H])C=1[H],2.544598485
[H]C1=NSC([H])=C1[H],3.11492412
[H]C#CC([H])([H])C#C[H],2.468282886
[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0.382996136
[H]C([H])=C([H])C([H])=C([H])C([H])([H])[H],1.015684313
[H]C#CC([H])=C([H])C([H])([H])[H],1.734962205
[H]C([H])=C([H])C(=C([H])[H])C([H])([H])[H],1.019049198
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.32408821
[H]C#CC(=C([H])[H])C([H])([H])[H],1.738013034
[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.399237316
[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],1.098056706
[H]C([H])=C([H])C#CC([H])([H])[H],1.712260445
[H]C#CC#CC([H])([H])[H],2.679777146
[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],0.388290223
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.38905293
[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],1.070509511
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H],0.401525438
[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],1.098236166
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.405832492
[H]N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.923486454
[H]C1C([H])=C([H])N([H])C=1[H],2.04856952
[H]C1=C([H])C([H])([H])N([H])C1([H])[H],1.560391953
[H]N([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.99042524
[H]N1C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.997603662
[H]N1C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],0.990694431
[H]C([H])([H])N1C([H])([H])C1([H])C([H])([H])[H],1.027124923
[H]N1C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],1.026048159
[H]N1C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],0.991950655
[H]N([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.982080324
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.411530364
[H]N1C([H])([H])C1([H])C([H])([H])C([H])([H])[H],1.003705321
[H]C([H])=C([H])C1([H])N([H])C1([H])[H],1.664613669
[H]C#CC1([H])N([H])C1([H])[H],2.363074137
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.3322088
[H]C([H])=C([H])C([H])([H])C#N,2.162212914
[H]C#CC([H])([H])C#N,2.878574573
[H]C(=C([H])C([H])([H])N([H])[H])C([H])([H])[H],0.968845108
[H]C(C#N)=C([H])C([H])([H])[H],2.14296577
[H]C([H])=C(C([H])([H])[H])C([H])([H])N([H])[H],0.975978665
[H]C([H])=C(C#N)C([H])([H])[H],2.150009597
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.400000024
[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.330593655
[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.313769228
[H]C([H])([H])C([H])(C#N)C([H])([H])[H],1.500138073
[H]N([H])C([H])([H])C#CC([H])([H])[H],1.660800132
[H]C([H])([H])C#CC#N,2.882118919
[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.326690388
[H]C([H])([H])C([H])([H])C([H])([H])C#N,1.501035375
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],0.360653298
[H]C([H])([H])C([H])([H])N1C([H])([H])C1([H])[H],1.030938459
[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0.351904596
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.409421703
[H]C([H])=C([H])C([H])(N([H])[H])C([H])([H])[H],0.981900864
[H]C#CC([H])(N([H])[H])C([H])([H])[H],1.68471325
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.383803709
[H]C([H])([H])N1C([H])([H])C([H])([H])C1([H])[H],1.037937421
[H]N(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],1.014428089
[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.35316082
[H]C([H])=C([H])C([H])([H])N([H])C([H])([H])[H],1.011197799
[H]C#CC([H])([H])N([H])C([H])([H])[H],1.718182643
[H]N(C([H])([H])[H])C([H])([H])C#N,2.127218107
[H]N([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],1.002897748
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.247987165
[H]N([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.993565799
[H]C1([H])C([H])([H])C1([H])C#N,2.159790197
[H]N1C([H])([H])C1([H])C#N,2.77682044
[H]C([H])=C([H])C([H])([H])C([H])([H])N([H])[H],0.98248411
[H]C#CC([H])([H])C([H])([H])N([H])[H],1.67982295
[H]C(C#N)=C([H])N([H])[H],2.669144109
[H]C1OC([H])([H])C([H])([H])C=1[H],1.867897609
[H]C1OC([H])=C([H])C=1[H],2.41592527
[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],1.241355957
[H]C1=C([H])C([H])([H])OC1([H])[H],1.882433914
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.256780732
[H]OC1([H])C([H])([H])C1([H])C([H])([H])[H],1.321305633
[H]C([H])([H])C1([H])OC([H])([H])C1([H])[H],1.308519068
[H]C([H])([H])C1(OC1([H])[H])C([H])([H])[H],1.303314712
[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],1.323369429
[H]C([H])([H])C1([H])OC1([H])C([H])([H])[H],1.303897959
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],1.301699567
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H],1.325253765
[H]C([H])=C([H])C1([H])OC1([H])[H],1.993116209
[H]C#CC1([H])OC1([H])[H],2.688436118
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.648508023
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.248705007
[H]C(=O)C([H])([H])C([H])=C([H])[H],1.89113775
[H]OC([H])([H])C([H])=C([H])C([H])([H])[H],1.284830275
[H]C(=O)C([H])=C([H])C([H])([H])[H],1.852149945
[H]OC([H])([H])C(=C([H])[H])C([H])([H])[H],1.285637848
[H]C(=O)C(=C([H])[H])C([H])([H])[H],1.853809956
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.644784217
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.620781368
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],1.232786715
[H]OC([H])([H])C#CC([H])([H])[H],1.976964759
[H]C(=O)C#CC([H])([H])[H],2.567838627
[H]C1C([H])=C([H])C([H])([H])C=1[H],1.573313113
[H]C([H])([H])C#CC([H])([H])C([H])([H])C([H])([H])[H],-0.257722899
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.925854535
[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.229323267
[H]C1=C([H])C2([H])N([H])C1([H])C2([H])[H],1.021830836
[H]C1=NC2([H])C([H])([H])C2([H])N1[H],1.411888346
[H]C1=NN([H])C2([H])C([H])([H])C12[H],1.487710429
[H]N1C([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],0.344726174
[H]C1([H])N(C1([H])[H])C1([H])C([H])([H])C1([H])[H],0.368325236
[H]N1C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],0.278325769
[H]N1C([H])([H])C([H])([H])C2([H])C([H])([H])C12[H],0.265045689
[H]C([H])([H])C1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],-0.923611278
[H]C1([H])N2C([H])([H])C2([H])C([H])([H])C1([H])[H],0.269038686
[H]N1C2([H])C([H])([H])C([H])([H])C([H])([H])C12[H],0.252887236
[H]C1=C([H])C2([H])N(C1([H])[H])C2([H])[H],0.902130648
[H]C1=C([H])C2([H])N([H])C2([H])C1([H])[H],0.882659178
[H]C1=C([H])C([H])([H])C([H])([H])N([H])C1([H])[H],0.2167708
[H]N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-0.425069864
[H]C1=NC([H])([H])C([H])=C([H])N1[H],1.355672328
[H]C1=NN=C([H])C([H])=C1[H],1.970324719
[H]C1=NN=C([H])C([H])([H])C1([H])[H],1.469809239
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],-0.92284857
[H]C1([H])N2C([H])([H])C([H])(C2([H])[H])C1([H])[H],0.326780118
[H]N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],0.183301407
[H]C1=NC([H])([H])C([H])([H])C([H])([H])N1[H],0.72558633
[H]C1=NN2C([H])([H])C2([H])C1([H])[H],1.51714196
[H]C1=NN([H])C([H])([H])C([H])([H])C1([H])[H],0.811368474
[H]N1C([H])([H])C1([H])C1([H])N([H])C1([H])[H],0.938157354
[H]N1C([H])([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.285638787
[H]N1C([H])([H])C2([H])C([H])([H])C2([H])C1([H])[H],0.270698696
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],-0.914010138
[H]N1C([H])([H])C2([H])N([H])C2([H])C1([H])[H],0.86058553
[H]C1=NC([H])([H])C2([H])N1C2([H])[H],1.456349698
[H]C1=NN([H])C([H])([H])C([H])=C1[H],1.452939948
[H]N([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],-0.343280718
[H]N([H])C1(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],-0.343325583
[H]C([H])([H])C1([H])C([H])([H])C1([H])C#N,0.82469342
[H]N([H])C1([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],-0.317258938
[H]N([H])C1([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-0.347139119
[H]N([H])C1([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],-0.33587797
[H]N1C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],-0.415199534
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],-0.923790738
[H]N1C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-0.34251801
[H]N1C([H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],-0.343146122
[H]C1C([H])=C(N([H])C=1[H])C([H])([H])[H],0.706473781
[H]C([H])([H])N1C([H])([H])C([H])([H])C1([H])C([H])([H])[H],-0.303844261
[H]C([H])([H])N1C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],-0.310080516
[H]N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],-0.408738954
[H]C([H])=C1C([H])([H])N([H])C([H])([H])C1([H])[H],0.234357934
[H]C1=C(C([H])([H])[H])C([H])([H])N([H])C1([H])[H],0.214303217
[H]N1C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],-0.31465676
[H]N([H])C1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],-0.338614743
[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-0.917599349
[H]C1=C([H])N([H])C([H])=C1C([H])([H])[H],0.712126789
[H]C1C(=NN([H])C=1[H])C([H])([H])[H],1.29613629
[H]C1=NN([H])C([H])(C([H])([H])[H])C1([H])[H],0.812714428
[H][N][C]([H])N1C([H])([H])C1([H])C([H])([H])[H],0.883601346
[H][C]([H])[N]N1C([H])([H])C1([H])C([H])([H])[H],0.989303611
[H]N1C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],-0.314297838
[H]N([H])C1([H])C([H])(N([H])[H])C1([H])C([H])([H])[H],0.247907206
[H]N([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],-0.339646641
[H]C([H])([H])N1C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],-0.286974969
[H]C1=NC([H])([H])C(=C([H])[H])N1[H],1.355492868
[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],-0.922040998
[H]N([H])C([H])([H])C1(N([H])C1([H])[H])C([H])([H])[H],0.255354819
[H]C1=NC([H])([H])C([H])(N1[H])C([H])([H])[H],0.732002045
[H]C1=NN=C([H])C1=C([H])[H],2.075623198
[H]C1=NN([H])C([H])([H])C1=C([H])[H],1.445178279
[H]C1=NN=C([H])C1([H])C([H])([H])[H],1.442351775
[H]C1=NN([H])C([H])([H])C1([H])C([H])([H])[H],0.820386367
[H]C1=NN([H])C([H])=C1C([H])([H])[H],1.305378509
[H]N1C([H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],-0.341172056
[H]C([H])=C([H])C1([H])N([H])C1([H])C([H])([H])[H],0.330055274
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1.575097947
[H]C#CC1([H])N([H])C1([H])C([H])([H])[H],1.02142705
[H]N([H])C([H])([H])C1([H])N([H])C1([H])C([H])([H])[H],0.242657985
[H]N1C([H])(C#N)C1([H])C([H])([H])[H],1.432840366
[H]N1C([H])([H])C([H])(N([H])[H])C1([H])C([H])([H])[H],0.282543092
[H]N([H])C1([H])C([H])([H])C1(N([H])[H])C([H])([H])[H],0.243510422
[H]N([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],-0.35054887
[H]C1=C([H])C([H])(N([H])C1([H])[H])C([H])([H])[H],0.223949222
[H]N1C(=NC([H])([H])C1([H])[H])C([H])([H])[H],0.713876529
[H]N1C([H])([H])C(N([H])[H])(C([H])([H])[H])C1([H])[H],0.259975928
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-1.570835759
[H]N1N=C(C([H])([H])[H])C([H])([H])C1([H])[H],0.799479212
[H]C1=NN=C(C([H])([H])[H])C1([H])[H],1.412247267
[H]N([H])C1([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],-0.338390418
[H]N1C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],-0.327398459
[H]C([H])=C([H])C1([H])N([H])C([H])([H])C1([H])[H],0.337458021
[H]C#CC1([H])N([H])C([H])([H])C1([H])[H],1.033361177
[H]N1C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])[H],-0.332961736
[H]C([H])([H])N1C([H])([H])C1([H])C([H])([H])C([H])([H])[H],-0.302902093
[H]N1C([H])([H])C([H])(C1([H])[H])C([H])([H])C([H])([H])[H],-0.298864231
[H]C([H])=C([H])C1([H])C([H])([H])N([H])C1([H])[H],0.362492768
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.570611433
[H]C#CC1([H])C([H])([H])N([H])C1([H])[H],1.045070978
[H]N1C([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])[H],-0.334621746
[H]N([H])C1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],-0.352388341
[H]N1C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.318694622
[H]C([H])=C([H])C([H])([H])C1([H])N([H])C1([H])[H],0.3273185
[H]C#CC([H])([H])C1([H])N([H])C1([H])[H],1.033406042
[H]C(=C([H])C1([H])N([H])C1([H])[H])C([H])([H])[H],0.32224874
[H]C([H])=C(C([H])([H])[H])C1([H])N([H])C1([H])[H],0.323101177
[H]N1C([H])([H])C1([H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.328026571
[H]N1C([H])([H])C1([H])C#CC([H])([H])[H],1.004378298
[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-1.575636328
[H]C1([H])C([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],-0.250858533
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.994946847
[H]C#CC(C#N)=C([H])[H],2.182671417
[H]C([H])=C([H])C([H])=C([H])C#N,1.438448508
[H]C([H])=C([H])C(C#N)=C([H])[H],1.45540753
[H]C([H])=C([H])C#CC#N,2.202412078
[H]C([H])=C([H])C([H])([H])C([H])([H])C#N,0.826712351
[H]C#CC([H])=C([H])C#N,2.163244812
[H]C#CC#CC#N,2.964087526
[H]C#CC([H])([H])C([H])([H])C#N,1.528627435
[H]C(=C([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])[H],-0.358714325
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1.575636328
[H]C(=C(C([H])([H])[H])C([H])([H])N([H])[H])C([H])([H])[H],-0.36364949
[H]C(=C(C#N)C([H])([H])[H])C([H])([H])[H],0.803382479
[H]C(=C([H])C([H])(N([H])[H])C([H])([H])[H])C([H])([H])[H],-0.362348401
[H]C(=C([H])C([H])([H])C#N)C([H])([H])[H],0.817649593
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])N([H])[H],-0.357592697
[H]C([H])=C(C([H])([H])[H])C([H])([H])C#N,0.817829054
[H]C([H])=C([H])C([H])(C#N)C([H])([H])[H],0.831782112
[H]N([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.995395499
[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])[H],-0.365533826
[H]C(C#N)=C(C([H])([H])[H])C([H])([H])[H],0.790999701
[H]C1=C([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.398295148
[H]N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.997234969
[H]C([H])([H])C(C#N)(C([H])([H])[H])C([H])([H])[H],0.170963494
[H]N([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.99750416
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C#N,0.168720237
[H]C#CC([H])(C#N)C([H])([H])[H],1.549085938
[H]N([H])C([H])([H])C([H])([H])C#CC([H])([H])[H],0.322966582
[H]N([H])C([H])(C#CC([H])([H])[H])C([H])([H])[H],0.326421197
[H]C([H])([H])C#CC([H])([H])C#N,1.515616545
[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])N([H])[H],-0.357413236
[H]C(C#N)=C([H])C([H])([H])C([H])([H])[H],0.807644668
[H]C1=C([H])C2([H])C([H])([H])C2([H])C1([H])[H],0.28828583
[H]C([H])=C(C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H],-0.352478071
[H]C([H])=C(C#N)C([H])([H])C([H])([H])[H],0.815810123
[H]N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-0.99095385
[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.005400424
[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])([H])[H],0.174552705
[H]N([H])C([H])([H])C#CC([H])([H])C([H])([H])[H],0.33552882
[H]C([H])([H])C([H])([H])C#CC#N,1.55599517
[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-1.001811213
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#N,0.172892695
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.966457485
[H]C1=C([H])C([H])=C([H])C([H])=C1[H],0.706922433
[H]N(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-0.969687774
[H][C](C([H])=C([H])[N]N([H])[H])C([H])([H])[H],0.880909438
[H][C]([H])C(=C([H])[N]N([H])[H])C([H])([H])[H],0.903072816
[H]C([H])=C([H])C(=NN([H])[H])C([H])([H])[H],0.901457671
[H][C]([N]N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.266077587
[H][C](C#CC([H])([H])[H])[N]N([H])[H],1.585561295
[H]C1=C([H])C([H])([H])C([H])=C([H])C1([H])[H],0.240728784
